Strategy,Metric,Point Estimate,Bootstrap Median,CI Lower,CI Upper,Bootstrap Iterations Requested,Bootstrap Iterations Used,Confidence Level
Equal weight universe,mean_monthly_return,0.00968307720858264,0.009566787755001803,0.0008443841775845949,0.01739679846261524,400,400,0.95
Equal weight universe,cagr,0.11223415214968147,0.11108708143444312,-0.0009648946361531047,0.21973386544726434,400,400,0.95
Equal weight universe,annualized_volatility,0.13666086949169431,0.13266727951403529,0.10438073345331922,0.1682918026207855,400,400,0.95
Equal weight universe,sharpe,0.8502574799588382,0.8812364436396576,0.06897701101436751,1.6494860683981967,400,400,0.95
SPY only,mean_monthly_return,0.013278322470693878,0.013293551305493905,0.0013102644849290034,0.025583156972477476,400,400,0.95
SPY only,cagr,0.1533657518031677,0.15455055953186037,-0.001063583306520383,0.33514164485721365,400,400,0.95
SPY only,annualized_volatility,0.17820446707550844,0.17580284798558776,0.1398509917439088,0.2116316158068457,400,400,0.95
SPY only,sharpe,0.8941407152314053,0.9152660475748442,0.08892434723508882,1.9239987671125567,400,400,0.95
60/40 SPY/TLT,mean_monthly_return,0.00645951671229014,0.006151236191522689,-0.002177900147545858,0.01475976249982006,400,400,0.95
60/40 SPY/TLT,cagr,0.07161112120187996,0.06800129385537657,-0.035514341853556584,0.1844485619931462,400,400,0.95
60/40 SPY/TLT,annualized_volatility,0.12847139286655457,0.12792397405036865,0.10695192378333974,0.145792744789953,400,400,0.95
60/40 SPY/TLT,sharpe,0.6033576722251077,0.5868068328097487,-0.19783727979853807,1.5288604198212032,400,400,0.95
Inverse volatility universe,mean_monthly_return,0.005574402283303064,0.0055635166962023095,0.00036304141541787396,0.011705256674877523,400,400,0.95
Inverse volatility universe,cagr,0.064527566195556,0.06519736505006712,-0.00010321908370042708,0.14655307043640828,400,400,0.95
Inverse volatility universe,annualized_volatility,0.09171399519905989,0.09039605540274034,0.07354432682387757,0.10888088059232426,400,400,0.95
Inverse volatility universe,sharpe,0.729363356753239,0.7349102965535468,0.04393784136860353,1.702143562029399,400,400,0.95
12M momentum top-k portfolio,mean_monthly_return,0.013764592510764494,0.014115334708000905,0.0028539265511875953,0.02416145436929016,400,400,0.95
12M momentum top-k portfolio,cagr,0.16575681262540787,0.1707044587250508,0.022265424604595664,0.3175755263867757,400,400,0.95
12M momentum top-k portfolio,annualized_volatility,0.1485081138426325,0.14687290927493785,0.12351439714449666,0.17133271970001385,400,400,0.95
12M momentum top-k portfolio,sharpe,1.1122295331567047,1.1156655417095793,0.21962608894118646,2.0460709733538955,400,400,0.95
Low volatility top-k portfolio,mean_monthly_return,0.002419861616194614,0.002288362545564723,-0.0012377448972163759,0.006278903498519335,400,400,0.95
Low volatility top-k portfolio,cagr,0.02743713469563125,0.025866996700673828,-0.01652079457028428,0.07649798393675489,400,400,0.95
Low volatility top-k portfolio,annualized_volatility,0.06277533899886215,0.06117321631834573,0.05181253728853227,0.07034372304092562,400,400,0.95
Low volatility top-k portfolio,sharpe,0.4625755887174375,0.4404810415999518,-0.24729333251296026,1.2676821455053158,400,400,0.95
FeatureSensitivity[Logistic full],mean_monthly_return,0.007807197557533946,0.008071218716760729,-0.0023719702517900247,0.01781621557033858,400,400,0.95
FeatureSensitivity[Logistic full],cagr,0.08408048244992417,0.08810648694092538,-0.044797987896987856,0.22562589365377383,400,400,0.95
FeatureSensitivity[Logistic full],annualized_volatility,0.15759511994815273,0.15460412344730573,0.11857255023265784,0.19901275798130375,400,400,0.95
