Model,Evaluation Window,bin,rows,observed_rate,mean_predicted_probability,score_min,score_max
Dummy[Preholdout prior probability],holdout,"(0.2, 0.201]",1875,0.2,0.20076481997966766,0.20076481997966766,0.20076481997966766
FeatureSensitivity[Logistic full],holdout,"(-0.0009652, 0.0736]",188,0.15425531914893617,0.033725520048044036,3.4769320336636156e-05,0.07323648780584335
FeatureSensitivity[Logistic full],holdout,"(0.0736, 0.233]",187,0.17647058823529413,0.15054230017458053,0.07420222461223602,0.23286135494709015
FeatureSensitivity[Logistic full],holdout,"(0.233, 0.426]",188,0.2393617021276596,0.32701333509163655,0.23289071023464203,0.4254305958747864
FeatureSensitivity[Logistic full],holdout,"(0.426, 0.606]",187,0.1657754010695187,0.5133162520148538,0.4257911741733551,0.6057435274124146
FeatureSensitivity[Logistic full],holdout,"(0.606, 0.778]",188,0.20212765957446807,0.6986280258031602,0.6063876152038574,0.7776787877082825
FeatureSensitivity[Logistic full],holdout,"(0.778, 0.881]",187,0.20320855614973263,0.8342388425281341,0.7780154943466187,0.8808786273002625
FeatureSensitivity[Logistic full],holdout,"(0.881, 0.965]",187,0.22994652406417113,0.9286548686537514,0.8813982009887695,0.9647995233535767
FeatureSensitivity[Logistic full],holdout,"(0.965, 0.99]",188,0.18085106382978725,0.9800317902514275,0.9648430943489075,0.9900956749916077
FeatureSensitivity[Logistic full],holdout,"(0.99, 0.998]",187,0.24598930481283424,0.995048448044986,0.9901286959648132,0.9984422326087952
FeatureSensitivity[Logistic full],holdout,"(0.998, 1.0]",188,0.20212765957446807,0.9995664627628124,0.9984542727470398,0.9999974966049194
FeatureSensitivity[Logistic ticker_ablated],holdout,"(-0.0009631, 0.0728]",188,0.1595744680851064,0.0335580808397471,3.690337325679138e-05,0.07275665551424026
FeatureSensitivity[Logistic ticker_ablated],holdout,"(0.0728, 0.232]",187,0.1711229946524064,0.1493554610938312,0.0729605183005333,0.229478657245636
FeatureSensitivity[Logistic ticker_ablated],holdout,"(0.232, 0.421]",188,0.23404255319148937,0.3235849394126141,0.23202863335609436,0.4207213521003723
FeatureSensitivity[Logistic ticker_ablated],holdout,"(0.421, 0.598]",187,0.1711229946524064,0.509570877979146,0.42118749022483826,0.5978870391845703
FeatureSensitivity[Logistic ticker_ablated],holdout,"(0.598, 0.776]",188,0.20212765957446807,0.6952977833595682,0.5981440544128418,0.7755565047264099
FeatureSensitivity[Logistic ticker_ablated],holdout,"(0.776, 0.881]",187,0.20855614973262032,0.8325206707505619,0.7759708762168884,0.8806672692298889
FeatureSensitivity[Logistic ticker_ablated],holdout,"(0.881, 0.964]",187,0.22459893048128343,0.9282275425559059,0.8808692097663879,0.963992714881897
FeatureSensitivity[Logistic ticker_ablated],holdout,"(0.964, 0.99]",188,0.17553191489361702,0.9798617645146999,0.964198112487793,0.9899665713310242
FeatureSensitivity[Logistic ticker_ablated],holdout,"(0.99, 0.998]",187,0.25133689839572193,0.9950201211766125,0.9901412129402161,0.9984357953071594
FeatureSensitivity[Logistic ticker_ablated],holdout,"(0.998, 1.0]",188,0.20212765957446807,0.9995679719016907,0.9984663724899292,0.9999975562095642
FeatureSensitivity[Logistic identity_ablated],holdout,"(-0.0009652, 0.074]",188,0.15425531914893617,0.03393555500979153,3.484997432678938e-05,0.07380496710538864
