Model,Base Model,Family,Calibration,Evaluation Window,Rows,Positive Rows,Positive Rate,Score Type,Average Precision,ROC AUC,Brier Score,Log Loss,ECE Quantile 10,Fit Seconds,Predict Seconds,Calibration Seconds,Workflow Seconds,CV/Validation Average Precision,Best Params,Timing Notes,Feature Variant
FeatureSensitivity[full][XGBoost light],XGBoost,feature_policy_sensitivity,none,holdout,1875,375,0.2,probability,0.24555098403932601,0.576672,0.20759813027349694,0.6033738090862804,0.20350638577739397,3.245990584999845,0.1678321209999467,0.0,3.4138227059997917,,,fixed GPU XGBoost rerun; no target-specific hyperparameter search,full
FeatureSensitivity[full][TabPFN direct],TabPFN,feature_policy_sensitivity,none,holdout,1875,375,0.2,probability,0.3020611754026107,0.6355804444444444,0.15502602927091633,0.4869106044319851,0.03055023157695929,13.617617139999993,63.23710217099983,0.0,76.85471931099983,,,direct TabPFN rerun for selected feature-policy sensitivity,full
FeatureSensitivity[ticker_ablated][XGBoost light],XGBoost,feature_policy_sensitivity,none,holdout,1875,375,0.2,probability,0.2627657042632611,0.5826737777777778,0.2101953891033402,0.6099822075796537,0.21306211230357486,1.2936054279998643,0.028605587999891213,0.0,1.3222110159997555,,,fixed GPU XGBoost rerun; no target-specific hyperparameter search,ticker_ablated
FeatureSensitivity[ticker_ablated][TabPFN direct],TabPFN,feature_policy_sensitivity,none,holdout,1875,375,0.2,probability,0.29377308814581804,0.6308106666666666,0.1554916437946286,0.4884380647101169,0.029973484243949258,9.387265112000023,69.450111418,0.0,78.83737653000003,,,direct TabPFN rerun for selected feature-policy sensitivity,ticker_ablated
FeatureSensitivity[identity_ablated][XGBoost light],XGBoost,feature_policy_sensitivity,none,holdout,1875,375,0.2,probability,0.2575575906156352,0.5776355555555556,0.21026292330127505,0.6097753542581379,0.21176238468488057,1.3309462119998443,0.0327141779998783,0.0,1.3636603899997226,,,fixed GPU XGBoost rerun; no target-specific hyperparameter search,identity_ablated
FeatureSensitivity[identity_ablated][TabPFN direct],TabPFN,feature_policy_sensitivity,none,holdout,1875,375,0.2,probability,0.29877105503637624,0.6351982222222222,0.15530178475727663,0.48750038432120807,0.02743818885087967,9.392852582999922,71.51593629000013,0.0,80.90878887300005,,,direct TabPFN rerun for selected feature-policy sensitivity,identity_ablated
FeatureSensitivity[metadata_only][XGBoost light],XGBoost,feature_policy_sensitivity,none,holdout,1875,375,0.2,probability,0.28150603667590357,0.6204000000000001,0.23974457677625474,0.6694629507686506,0.28077124923467633,0.38381607999986045,0.02009950100000424,0.0,0.4039155809998647,,,fixed GPU XGBoost rerun; no target-specific hyperparameter search,metadata_only
FeatureSensitivity[metadata_only][TabPFN direct],TabPFN,feature_policy_sensitivity,none,holdout,1875,375,0.2,probability,0.29048248534606536,0.6255333333333334,0.15440048306471876,0.48490945213509973,0.044304641085863114,0.9197737199999665,4.948111973999858,0.0,5.867885693999824,,,direct TabPFN rerun for selected feature-policy sensitivity,metadata_only
FeatureSensitivity[strict_time_series][XGBoost light],XGBoost,feature_policy_sensitivity,none,holdout,1875,375,0.2,probability,0.2575575906156352,0.5776355555555556,0.21026292330127505,0.6097753542581379,0.21176238468488057,1.2987784289998672,0.027873858000020846,0.0,1.326652286999888,,,fixed GPU XGBoost rerun; no target-specific hyperparameter search,strict_time_series
FeatureSensitivity[strict_time_series][TabPFN direct],TabPFN,feature_policy_sensitivity,none,holdout,1875,375,0.2,probability,0.29877105503637624,0.6351982222222222,0.15530178475727663,0.48750038432120807,0.02743818885087967,9.440386880999995,72.57033128100011,0.0,82.0107181620001,,,direct TabPFN rerun for selected feature-policy sensitivity,strict_time_series
