asset,rows,adv_non_null,median_adv_usd,min_adv_usd,median_hl_spread_proxy_bps,max_hl_spread_proxy_bps
DBC,243,241,36326467.44483615,6350739.535673838,114.92366475836963,413.42770193135334
DIA,243,242,1118150842.92941,505959892.59658086,95.67726042510374,684.17044666956
EEM,243,242,2212733896.4549775,348601289.11998457,113.89277951214864,970.099880733621
EFA,243,242,1186365928.7834105,233334531.32628185,90.32212133994258,682.1637202862113
GLD,243,242,1270122045.0959463,251265782.072588,95.10297300241359,448.3269583793955
HYG,229,227,985284154.7644721,1955642.1064467658,43.498150358642604,445.41511715080674
IEF,243,242,215435310.02745855,12262106.778208414,36.41310147113749,150.96596025802626
IWM,243,242,4297302795.892328,2253902764.40997,152.41808998520747,788.8038011278079
IYR,243,242,620928118.283947,113796825.43199979,135.36377486471986,1019.2302465854817
LQD,243,242,455735418.7339662,10056434.21675667,42.42150230845311,402.96118826546814
QQQ,243,242,4969044341.127017,1923312570.670488,128.96991646855014,710.4844971605663
SHY,243,242,145750289.02258494,37951714.41997952,7.664202688290695,44.21226733141442
SLV,241,239,211135887.71888644,42925337.278184436,171.0414380675771,695.1316942229289
SPY,243,242,24503986459.433567,7717463834.477086,97.66540013023597,741.4679101741069
TLT,243,242,1068289056.9994245,59758246.98899098,84.42466319876644,456.8400314102817
VNQ,243,242,310983194.46473503,4251055.607368832,138.23942819406676,1027.980636104072
XLB,243,242,355112613.73344,83455403.83843152,136.12440822150148,903.749576191907
XLE,243,242,1261590426.6604168,721824881.1553955,179.65354665580347,1185.8906916040662
XLF,243,242,1457950291.3830183,200342802.3255751,131.42155563067539,924.8079244704802
XLI,243,242,668964251.0171103,31536528.597846862,123.37191630125591,707.2137589051038
XLK,243,242,429482704.9301541,29321562.08539993,130.8565024287646,716.420470077586
XLP,243,242,538234185.2307032,28498815.494588822,94.4213361297685,619.6475157548847
XLU,243,242,636133043.8428698,86771324.15610117,134.65404528241538,789.0546537997552
XLV,243,242,623988134.1222429,31380907.574359953,109.36868622540818,659.6228622687346
XLY,243,242,420473482.49736357,24709586.648980167,123.86224134260321,857.1378940572487
