Model,Evaluation Window,month,rows,top_k,spearman_ic,top_k_hit_rate,selected_mean_forward_return,universe_mean_forward_return,active_forward_return
Dummy[Preholdout prior probability],holdout,2020-01,25,5,,,,-0.054048529927951616,
Dummy[Preholdout prior probability],holdout,2020-02,25,5,,,,-0.144853973591291,
Dummy[Preholdout prior probability],holdout,2020-03,25,5,,,,0.10528199762534535,
Dummy[Preholdout prior probability],holdout,2020-04,25,5,,,,0.05812332666708572,
Dummy[Preholdout prior probability],holdout,2020-05,25,5,,,,0.019992684806599163,
Dummy[Preholdout prior probability],holdout,2020-06,25,5,,,,0.05777398842837513,
Dummy[Preholdout prior probability],holdout,2020-07,25,5,,,,0.036529742066458,
Dummy[Preholdout prior probability],holdout,2020-08,25,5,,,,-0.027170320929438132,
Dummy[Preholdout prior probability],holdout,2020-09,25,5,,,,-0.01036528349849676,
Dummy[Preholdout prior probability],holdout,2020-10,25,5,,,,0.08653827865221966,
Dummy[Preholdout prior probability],holdout,2020-11,25,5,,,,0.034227788499490146,
Dummy[Preholdout prior probability],holdout,2020-12,25,5,,,,0.0018480658552711394,
Dummy[Preholdout prior probability],holdout,2021-01,25,5,,,,0.018249915477434556,
Dummy[Preholdout prior probability],holdout,2021-02,25,5,,,,0.02019939166907704,
Dummy[Preholdout prior probability],holdout,2021-03,25,5,,,,0.03918020186283756,
Dummy[Preholdout prior probability],holdout,2021-04,25,5,,,,0.019048183223282264,
Dummy[Preholdout prior probability],holdout,2021-05,25,5,,,,0.003434835956347926,
Dummy[Preholdout prior probability],holdout,2021-06,25,5,,,,0.009919235951926942,
Dummy[Preholdout prior probability],holdout,2021-07,25,5,,,,0.010399580419744958,
Dummy[Preholdout prior probability],holdout,2021-08,25,5,,,,-0.029154407226359143,
Dummy[Preholdout prior probability],holdout,2021-09,25,5,,,,0.04854006477878721,
Dummy[Preholdout prior probability],holdout,2021-10,25,5,,,,-0.011524008669717421,
Dummy[Preholdout prior probability],holdout,2021-11,25,5,,,,0.030873413268752748,
Dummy[Preholdout prior probability],holdout,2021-12,25,5,,,,-0.028729881341377026,
Dummy[Preholdout prior probability],holdout,2022-01,25,5,,,,-0.0089694777050356,
Dummy[Preholdout prior probability],holdout,2022-02,25,5,,,,0.025654971260474682,
Dummy[Preholdout prior probability],holdout,2022-03,25,5,,,,-0.05953558665035613,
Dummy[Preholdout prior probability],holdout,2022-04,25,5,,,,0.010536842747959452,
Dummy[Preholdout prior probability],holdout,2022-05,25,5,,,,-0.07287346936361745,
Dummy[Preholdout prior probability],holdout,2022-06,25,5,,,,0.05655602416142594,
Dummy[Preholdout prior probability],holdout,2022-07,25,5,,,,-0.03955625578342088,
Dummy[Preholdout prior probability],holdout,2022-08,25,5,,,,-0.0569238973443395,
Dummy[Preholdout prior probability],holdout,2022-09,25,5,,,,0.05320743137922002,
Dummy[Preholdout prior probability],holdout,2022-10,25,5,,,,0.05679527962457159,
Dummy[Preholdout prior probability],holdout,2022-11,25,5,,,,-0.030486299292534186,
Dummy[Preholdout prior probability],holdout,2022-12,25,5,,,,0.0453518351253069,
Dummy[Preholdout prior probability],holdout,2023-01,25,5,,,,-0.036788564173675604,
Dummy[Preholdout prior probability],holdout,2023-02,25,5,,,,0.02800888677347048,
Dummy[Preholdout prior probability],holdout,2023-03,25,5,,,,0.008176761269779696,
Dummy[Preholdout prior probability],holdout,2023-04,25,5,,,,-0.022281771653133033,
Dummy[Preholdout prior probability],holdout,2023-05,25,5,,,,0.04213858010973293,
Dummy[Preholdout prior probability],holdout,2023-06,25,5,,,,0.024872318996855575,
Dummy[Preholdout prior probability],holdout,2023-07,25,5,,,,-0.011716276714760401,
Dummy[Preholdout prior probability],holdout,2023-08,25,5,,,,-0.05200131419392319,
Dummy[Preholdout prior probability],holdout,2023-09,25,5,,,,-0.014257824729759769,
Dummy[Preholdout prior probability],holdout,2023-10,25,5,,,,0.07028742850054791,
Dummy[Preholdout prior probability],holdout,2023-11,25,5,,,,0.03833103377245285,
Dummy[Preholdout prior probability],holdout,2023-12,25,5,,,,-0.0016680486093222412,
Dummy[Preholdout prior probability],holdout,2024-01,25,5,,,,0.02200748883192737,
Dummy[Preholdout prior probability],holdout,2024-02,25,5,,,,0.03547267737362383,
Dummy[Preholdout prior probability],holdout,2024-03,25,5,,,,-0.03038393883022008,
Dummy[Preholdout prior probability],holdout,2024-04,25,5,,,,0.03858234625200459,
Dummy[Preholdout prior probability],holdout,2024-05,25,5,,,,0.005875100185899931,
Dummy[Preholdout prior probability],holdout,2024-06,25,5,,,,0.030199185187228198,
Dummy[Preholdout prior probability],holdout,2024-07,25,5,,,,0.013461795615944249,
Dummy[Preholdout prior probability],holdout,2024-08,25,5,,,,0.030435552168564348,
Dummy[Preholdout prior probability],holdout,2024-09,25,5,,,,-0.010666001655943193,
Dummy[Preholdout prior probability],holdout,2024-10,25,5,,,,0.02855067300702422,
Dummy[Preholdout prior probability],holdout,2024-11,25,5,,,,-0.03755688634105421,
Dummy[Preholdout prior probability],holdout,2024-12,25,5,,,,0.016857356906338605,
Dummy[Preholdout prior probability],holdout,2025-01,25,5,,,,0.018716185390149017,
Dummy[Preholdout prior probability],holdout,2025-02,25,5,,,,-0.01761580618567086,
Dummy[Preholdout prior probability],holdout,2025-03,25,5,,,,-0.011693638258600982,
Dummy[Preholdout prior probability],holdout,2025-04,25,5,,,,0.028813096568311162,
Dummy[Preholdout prior probability],holdout,2025-05,25,5,,,,0.030568332693022202,
Dummy[Preholdout prior probability],holdout,2025-06,25,5,,,,0.006917584034977073,
Dummy[Preholdout prior probability],holdout,2025-07,25,5,,,,0.021690475095598908,
Dummy[Preholdout prior probability],holdout,2025-08,25,5,,,,0.03573151554994267,
Dummy[Preholdout prior probability],holdout,2025-09,25,5,,,,0.011074812126935951,
Dummy[Preholdout prior probability],holdout,2025-10,25,5,,,,0.013984383017208932,
Dummy[Preholdout prior probability],holdout,2025-11,25,5,,,,0.020344472514725546,
Dummy[Preholdout prior probability],holdout,2025-12,25,5,,,,0.030385954668528285,
Dummy[Preholdout prior probability],holdout,2026-01,25,5,,,,0.03269640805459751,
