Objective,Target Column,Return Column,Portfolio Diagnostic Caveat,Model,Evaluation Window,month,rows,top_k,spearman_ic,top_k_hit_rate,selected_mean_forward_return,universe_mean_forward_return,active_forward_return
benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],holdout,2020-01,25,5,-0.6223076923076922,0.2,-0.0073970120496928745,0.023699731875876266,-0.03109674392556914
benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],holdout,2020-02,25,5,-0.5569230769230769,0.2,-0.05389648952820629,0.018694836428025517,-0.0725913259562318
benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],holdout,2020-03,25,5,0.03153846153846154,0.2,-0.044262874694077324,-0.0452545299287775,0.000991655234700177
benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],holdout,2020-04,25,5,0.10384615384615385,0.6,0.0006734806612120004,-0.0060521915130174134,0.006725672174229414
benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],holdout,2020-05,25,5,0.052307692307692305,0.4,-0.0173820328369124,-0.0040909044137998314,-0.013291128423112569
benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],holdout,2020-06,25,5,0.02692307692307692,0.2,-0.01601625611342943,-0.00279445797712361,-0.013221798136305819
benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],holdout,2020-07,25,5,0.22153846153846157,0.2,-0.04627386035263885,-0.030142569198897996,-0.016131291153740852
benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],holdout,2020-08,25,5,-0.03846153846153846,0.8,-0.007392834631623146,0.004719739329421411,-0.012112573961044558
benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],holdout,2020-09,25,5,-0.2453846153846154,0.2,-0.005217311633719013,0.011814563418337518,-0.01703187505205653
benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],holdout,2020-10,25,5,0.5592307692307692,0.6,0.04279922904122331,-0.02057820415043861,0.06337743319166192
