Strategy,Average Holdings,Max Holdings,Average Max Asset Weight,Max Asset Weight,Average Gross Leverage,Max Gross Leverage,Average Monthly Turnover,Max Monthly Turnover,Months Above 50pct Turnover,Months Above 100pct Turnover
Equal weight universe,25.0,25,0.04,0.04,1.0000000000000002,1.0000000000000002,0.013333333333333334,1.0,1,0
FeatureSensitivity[metadata_only][TabPFN direct],5.0,5,0.19999999999999996,0.2,1.0,1.0,0.013333333333333334,1.0,1,0
FeatureSensitivity[metadata_only][XGBoost light],5.0,5,0.19999999999999996,0.2,1.0,1.0,0.013333333333333334,1.0,1,0
60/40 SPY/TLT,2.0,2,0.6,0.6,1.0,1.0,0.013333333333333334,1.0,1,0
SPY only,1.0,1,1.0,1.0,1.0,1.0,0.013333333333333334,1.0,1,0
FeatureSensitivity[metadata_only][TabPFN direct] | inverse-vol capped top-k,5.0,5,0.2891686185646358,0.35,1.0,1.0000000000000002,0.08987504295238281,0.9999999999999998,1,0
FeatureSensitivity[metadata_only][XGBoost light] | inverse-vol capped top-k,5.0,5,0.28543724061532366,0.35,1.0,1.0000000000000002,0.0905421682114513,1.0,1,0
Inverse volatility universe,25.0,25,0.22800575883552493,0.4801315193957315,1.0,1.0000000000000002,0.0982280387738164,1.0,1,0
Low volatility top-k portfolio,5.0,5,0.19999999999999996,0.2,1.0,1.0,0.16266666666666665,1.0,1,0
12M momentum top-k portfolio,5.0,5,0.19999999999999996,0.2,1.0,1.0,0.45599999999999996,1.2000000000000002,24,3
FeatureSensitivity[full][TabPFN direct],5.0,5,0.19999999999999996,0.2,1.0,1.0,0.49333333333333323,1.6,21,5
TabPFN[Direct allocation scorer] Calibration Base,5.0,5,0.19999999999999996,0.2,1.0,1.0,0.5626666666666666,1.6,29,5
FeatureSensitivity[identity_ablated][TabPFN direct],5.0,5,0.19999999999999996,0.2,1.0,1.0,0.568,1.6,31,8
FeatureSensitivity[strict_time_series][TabPFN direct],5.0,5,0.19999999999999996,0.2,1.0,1.0,0.568,1.6,31,8
TabPFN[Direct allocation scorer],5.0,5,0.19999999999999996,0.2,1.0,1.0,0.568,1.6,31,8
Rule[6M momentum top-k],5.0,5,0.19999999999999996,0.2,1.0,1.0,0.616,1.6,36,12
FeatureSensitivity[full][TabPFN direct] | inverse-vol capped top-k,5.0,5,0.25840956925201974,0.35000000000000003,1.0,1.0000000000000002,0.6185127014324819,1.7690804349039684,45,10
TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,5.0,5,0.2866518534616353,0.35,1.0,1.0000000000000002,0.6757398321789421,1.6785416516936689,47,12
FeatureSensitivity[ticker_ablated][TabPFN direct],5.0,5,0.19999999999999996,0.2,1.0,1.0,0.6799999999999999,1.6,45,12
FeatureSensitivity[identity_ablated][TabPFN direct] | inverse-vol capped top-k,5.0,5,0.2577925692109761,0.35,1.0,1.0000000000000002,0.7084487088712317,1.7690804349039682,49,16
FeatureSensitivity[strict_time_series][TabPFN direct] | inverse-vol capped top-k,5.0,5,0.2577925692109761,0.35,1.0,1.0000000000000002,0.7084487088712317,1.7690804349039682,49,16
TabPFN[Direct allocation scorer] | inverse-vol capped top-k,5.0,5,0.2577925692109761,0.35,1.0,1.0000000000000002,0.7084487088712317,1.7690804349039682,49,16
