                                                Model Evaluation Window  months  mean_spearman_ic  median_spearman_ic  mean_top_k_hit_rate  mean_selected_forward_return  mean_universe_forward_return  mean_active_forward_return
            XGBoost[GPU allocation scorer] Calibrated       calibration      24          0.106795            0.094615             0.250000                      0.011621                      0.005788                    0.005833
      XGBoost[GPU allocation scorer] Calibration Base       calibration      24          0.106795            0.094615             0.250000                      0.011621                      0.005788                    0.005833
    TabPFN[Direct allocation scorer] Calibration Base       calibration      24          0.079572            0.058082             0.266667                      0.008141                      0.005788                    0.002353
                           Rule[Low volatility top-k]       calibration      24         -0.090160           -0.203462             0.125000                      0.004705                      0.005788                   -0.001083
                             Rule[12M momentum top-k]       calibration      24         -0.059583            0.013846             0.183333                      0.000221                      0.005788                   -0.005567
                   Rule[Risk-adjusted momentum top-k]       calibration      24         -0.144423           -0.091154             0.166667                     -0.003900                      0.005788                   -0.009688
                              Rule[6M momentum top-k]       calibration      24         -0.140769           -0.138846             0.183333                     -0.004110                      0.005788                   -0.009899
  FeatureSensitivity[identity_ablated][TabPFN direct]           holdout      75          0.040528            0.066923             0.298667                      0.014813                      0.009690                    0.005123
FeatureSensitivity[strict_time_series][TabPFN direct]           holdout      75          0.040528            0.066923             0.298667                      0.014813                      0.009690                    0.005123
                     TabPFN[Direct allocation scorer]           holdout      75          0.040528            0.066923             0.298667                      0.014813                      0.009690                    0.005123
    TabPFN[Direct allocation scorer] Calibration Base           holdout      75          0.036316            0.034615             0.312000                      0.014378                      0.009690                    0.004688
              FeatureSensitivity[full][TabPFN direct]           holdout      75          0.037249            0.036154             0.298667                      0.014183                      0.009690                    0.004493
                             Rule[12M momentum top-k]           holdout      75          0.046441            0.036154             0.261333                      0.013993                      0.009690                    0.004303
    FeatureSensitivity[ticker_ablated][XGBoost light]           holdout      75          0.007538            0.050000             0.288000                      0.013828                      0.009690                    0.004138
                   Rule[Risk-adjusted momentum top-k]           holdout      75          0.001118           -0.003077             0.274667                      0.012875                      0.009690                    0.003185
    FeatureSensitivity[ticker_ablated][TabPFN direct]           holdout      75          0.034643            0.067692             0.288000                      0.012668                      0.009690                    0.002978
              FeatureSensitivity[full][XGBoost light]           holdout      75          0.020041            0.041538             0.264000                      0.012415                      0.009690                    0.002725
     FeatureSensitivity[metadata_only][TabPFN direct]           holdout      75          0.038125            0.063089             0.269333                      0.011918                      0.009690                    0.002228
  FeatureSensitivity[identity_ablated][XGBoost light]           holdout      75          0.023908            0.094615             0.269333                      0.011563                      0.009690                    0.001873
FeatureSensitivity[strict_time_series][XGBoost light]           holdout      75          0.023908            0.094615             0.269333                      0.011563                      0.009690                    0.001873
     FeatureSensitivity[metadata_only][XGBoost light]           holdout      75          0.033682            0.043846             0.264000                      0.011534                      0.009690                    0.001844
                       XGBoost[GPU allocation scorer]           holdout      75          0.033385            0.040000             0.269333                      0.009482                      0.009690                   -0.000208
                              Rule[6M momentum top-k]           holdout      75          0.010995            0.013846             0.253333                      0.009208                      0.009690                   -0.000482
            XGBoost[GPU allocation scorer] Calibrated           holdout      75          0.008523            0.002308             0.269333                      0.008493                      0.009690                   -0.001197
      XGBoost[GPU allocation scorer] Calibration Base           holdout      75          0.008523            0.002308             0.269333                      0.008493                      0.009690                   -0.001197
                           Rule[Low volatility top-k]           holdout      75         -0.081692           -0.096923             0.141333                      0.002501                      0.009690                   -0.007189
                  Dummy[Preholdout prior probability]           holdout      75               NaN                 NaN                  NaN                           NaN                      0.009690                         NaN
