Model,Base Model,Family,Calibration,Evaluation Window,Rows,Positive Rows,Positive Rate,Score Type,Average Precision,ROC AUC,Brier Score,Log Loss,ECE Quantile 10,Fit Seconds,Predict Seconds,Calibration Seconds,Workflow Seconds,CV/Validation Average Precision,Best Params,Timing Notes
FeatureSensitivity[full][TabPFN direct],TabPFN,feature_policy_sensitivity,full,holdout,750,225,0.3,probability,0.37613124446712287,0.6040338624338625,0.2064646844007381,0.6028924190859428,0.059803288817405695,1.6232815819998905,4.131319629000018,0.0,5.754601210999908,,,direct TabPFN feature-policy sensitivity rerun
FeatureSensitivity[ticker_ablated][TabPFN direct],TabPFN,feature_policy_sensitivity,ticker_ablated,holdout,750,225,0.3,probability,0.374863905073495,0.5980825396825395,0.20650039984422724,0.6030865426570907,0.06835619322458904,1.4300450360001378,4.026455090999889,0.0,5.456500127000027,,,direct TabPFN feature-policy sensitivity rerun
FeatureSensitivity[identity_ablated][TabPFN direct],TabPFN,feature_policy_sensitivity,identity_ablated,holdout,750,225,0.3,probability,0.3633965543886501,0.5836317460317461,0.20632862234746532,0.6028450661031065,0.044390461881955466,1.5718351630000598,4.014893311999913,0.0,5.586728474999973,,,direct TabPFN feature-policy sensitivity rerun
FeatureSensitivity[strict_time_series][TabPFN direct],TabPFN,feature_policy_sensitivity,strict_time_series,holdout,750,225,0.3,probability,0.3633965543886501,0.5836317460317461,0.20632862234746532,0.6028450661031065,0.044390461881955466,1.7581681970000318,3.965597717000037,0.0,5.723765914000069,,,direct TabPFN feature-policy sensitivity rerun
FeatureSensitivity[metadata_only][TabPFN direct],TabPFN,feature_policy_sensitivity,metadata_only,holdout,750,225,0.3,probability,0.35703139329805994,0.5828571428571427,0.20651946790045694,0.6027488473565575,0.044272008796532945,0.2891638900000544,0.211639224999999,0.0,0.5008031150000534,,,direct TabPFN feature-policy sensitivity rerun
FeatureSensitivity[metadata_only][XGBoost light],XGBoost,feature_policy_sensitivity,metadata_only,holdout,750,225,0.3,probability,0.3551159082892416,0.5746031746031746,0.2436675097919696,0.6796832976051487,0.1923092931509018,0.35502094000003126,0.013979473999825132,0.0,0.3690004139998564,,,fixed GPU XGBoost feature-policy sensitivity rerun; no target-specific hyperparameter search
FeatureSensitivity[full][XGBoost light],XGBoost,feature_policy_sensitivity,full,holdout,750,225,0.3,probability,0.32848343461469787,0.5293629629629629,0.22700844951204954,0.6473975448636539,0.12088013042012852,2.538138800999832,0.1470210649999899,0.0,2.6851598659998217,,,fixed GPU XGBoost feature-policy sensitivity rerun; no target-specific hyperparameter search
FeatureSensitivity[identity_ablated][XGBoost light],XGBoost,feature_policy_sensitivity,identity_ablated,holdout,750,225,0.3,probability,0.32626267964877537,0.5346031746031746,0.22627886523152685,0.6464318046816623,0.11852404283483824,0.7683945230000973,0.01762450399996851,0.0,0.7860190270000658,,,fixed GPU XGBoost feature-policy sensitivity rerun; no target-specific hyperparameter search
FeatureSensitivity[strict_time_series][XGBoost light],XGBoost,feature_policy_sensitivity,strict_time_series,holdout,750,225,0.3,probability,0.32626267964877537,0.5346031746031746,0.22627886523152685,0.6464318046816623,0.11852404283483824,0.7543770119998499,0.016760434999923746,0.0,0.7711374469997736,,,fixed GPU XGBoost feature-policy sensitivity rerun; no target-specific hyperparameter search
FeatureSensitivity[ticker_ablated][XGBoost light],XGBoost,feature_policy_sensitivity,ticker_ablated,holdout,750,225,0.3,probability,0.3245114678686942,0.527331216931217,0.22793267592209482,0.6490490922664024,0.1291962508360545,0.7403827000000547,0.01629643000001124,0.0,0.7566791300000659,,,fixed GPU XGBoost feature-policy sensitivity rerun; no target-specific hyperparameter search
