asset,rows,adv_non_null,median_adv_usd,min_adv_usd,median_hl_spread_proxy_bps,max_hl_spread_proxy_bps
EEM,243,242,2212733896.4549775,348601289.11998457,113.89277951214864,970.099880733621
EFA,243,242,1186365928.7834105,233334531.32628185,90.32212133994258,682.1637202862113
GLD,243,242,1270122045.0959463,251265782.072588,95.10297300241359,448.3269583793955
IEF,243,242,215435310.02745855,12262106.778208414,36.41310147113749,150.96596025802626
IWM,243,242,4297302795.892328,2253902764.40997,152.41808998520747,788.8038011278079
QQQ,243,242,4969044341.127017,1923312570.670488,128.96991646855014,710.4844971605663
SPY,243,242,24503986459.433567,7717463834.477086,97.66540013023597,741.4679101741069
TLT,243,242,1068289056.9994245,59758246.98899098,84.42466319876644,456.8400314102817
XLE,243,242,1261590426.6604168,721824881.1553955,179.65354665580347,1185.8906916040662
XLF,243,242,1457950291.3830183,200342802.3255751,131.42155563067539,924.8079244704802
