Model,Evaluation Window,months,mean_spearman_ic,median_spearman_ic,mean_top_k_hit_rate,mean_selected_forward_return,mean_universe_forward_return,mean_active_forward_return
XGBoost[GPU allocation scorer] Calibrated,calibration,24,0.07272727272727272,0.07878787878787878,0.34722222222222215,0.007594540872144887,0.004192200078005598,0.0034023407941392897
XGBoost[GPU allocation scorer] Calibration Base,calibration,24,0.07272727272727272,0.07878787878787878,0.34722222222222215,0.007594540872144887,0.004192200078005598,0.0034023407941392897
Rule[Low volatility top-k],calibration,24,-0.03686868686868688,0.0,0.3055555555555555,0.004943844923891225,0.004192200078005598,0.0007516448458856273
TabPFN[Direct allocation scorer] Calibration Base,calibration,24,-0.019319142431122874,-0.04242424242424242,0.2916666666666667,0.003078461504677806,0.004192200078005598,-0.0011137385733277912
Rule[12M momentum top-k],calibration,24,-0.11111111111111109,-0.16363636363636364,0.2916666666666667,0.000712937396476556,0.004192200078005598,-0.00347926268152904
Rule[Risk-adjusted momentum top-k],calibration,24,-0.16464646464646462,-0.2545454545454545,0.2222222222222222,-0.002595922097832187,0.004192200078005598,-0.006788122175837785
Rule[6M momentum top-k],calibration,24,-0.1707070707070707,-0.12727272727272726,0.18055555555555555,-0.006729796754822979,0.004192200078005598,-0.010921996832828578
FeatureSensitivity[full][TabPFN direct],holdout,75,0.07910133456147826,0.10303030303030303,0.4,0.017976076292175097,0.01005039914181799,0.007925677150357108
Rule[Risk-adjusted momentum top-k],holdout,75,0.022707070707070707,0.006060606060606061,0.3333333333333333,0.014700580935716268,0.01005039914181799,0.0046501817938982785
FeatureSensitivity[metadata_only][TabPFN direct],holdout,75,0.04303971249254857,0.07294866524160776,0.3822222222222222,0.014361877746143569,0.01005039914181799,0.0043114786043255806
FeatureSensitivity[ticker_ablated][TabPFN direct],holdout,75,0.0530321831162418,0.09090909090909088,0.3644444444444444,0.014182628886234505,0.01005039914181799,0.004132229744416516
FeatureSensitivity[metadata_only][XGBoost light],holdout,75,0.009454545454545452,0.01818181818181818,0.36,0.013657589242404426,0.01005039914181799,0.003607190100586437
TabPFN[Direct allocation scorer] Calibration Base,holdout,75,0.014747290160250701,0.04242424242424241,0.3333333333333333,0.013123150457035842,0.01005039914181799,0.003072751315217852
Rule[12M momentum top-k],holdout,75,0.06602020202020202,0.09090909090909088,0.3244444444444444,0.013106255952381117,0.01005039914181799,0.003055856810563129
FeatureSensitivity[identity_ablated][TabPFN direct],holdout,75,0.02409514406508656,0.048632443494405174,0.3466666666666667,0.012078716271822536,0.01005039914181799,0.002028317130004548
FeatureSensitivity[strict_time_series][TabPFN direct],holdout,75,0.02409514406508656,0.048632443494405174,0.3466666666666667,0.012078716271822536,0.01005039914181799,0.002028317130004548
TabPFN[Direct allocation scorer],holdout,75,0.02409514406508656,0.048632443494405174,0.3466666666666667,0.012078716271822536,0.01005039914181799,0.002028317130004548
Rule[6M momentum top-k],holdout,75,0.01236363636363636,0.01818181818181818,0.3333333333333333,0.011525954242831236,0.01005039914181799,0.0014755551010132463
FeatureSensitivity[ticker_ablated][XGBoost light],holdout,75,-0.02319191919191919,0.0303030303030303,0.3377777777777778,0.010925581401437085,0.01005039914181799,0.0008751822596190965
XGBoost[GPU allocation scorer] Calibrated,holdout,75,-0.03789898989898989,-0.05454545454545454,0.32888888888888884,0.010604550861840506,0.01005039914181799,0.0005541517200225169
XGBoost[GPU allocation scorer] Calibration Base,holdout,75,-0.03789898989898989,-0.05454545454545454,0.32888888888888884,0.010604550861840506,0.01005039914181799,0.0005541517200225169
FeatureSensitivity[full][XGBoost light],holdout,75,-0.014303030303030309,-0.05454545454545454,0.3422222222222222,0.0090608275839787,0.01005039914181799,-0.0009895715578392898
FeatureSensitivity[identity_ablated][XGBoost light],holdout,75,-0.02012121212121212,-0.01818181818181818,0.31555555555555553,0.008690867443644461,0.01005039914181799,-0.0013595316981735292
FeatureSensitivity[strict_time_series][XGBoost light],holdout,75,-0.02012121212121212,-0.01818181818181818,0.31555555555555553,0.008690867443644461,0.01005039914181799,-0.0013595316981735292
XGBoost[GPU allocation scorer],holdout,75,-0.031595959595959594,-0.07878787878787878,0.31555555555555553,0.007603760868337131,0.01005039914181799,-0.0024466382734808596
Rule[Low volatility top-k],holdout,75,-0.062141414141414136,-0.12727272727272726,0.24888888888888885,0.005725232258550439,0.01005039914181799,-0.00432516688326755
Dummy[Preholdout prior probability],holdout,75,,,,,0.01005039914181799,
