Model,Evaluation Window,month,rows,top_k,spearman_ic,top_k_hit_rate,selected_mean_forward_return,universe_mean_forward_return,active_forward_return
Dummy[Preholdout prior probability],holdout,2020-01,10,3,,,,-0.04641258515644843,
Dummy[Preholdout prior probability],holdout,2020-02,10,3,,,,-0.14115509020021683,
Dummy[Preholdout prior probability],holdout,2020-03,10,3,,,,0.11503327685521758,
Dummy[Preholdout prior probability],holdout,2020-04,10,3,,,,0.048296551938624796,
Dummy[Preholdout prior probability],holdout,2020-05,10,3,,,,0.02346263687601522,
Dummy[Preholdout prior probability],holdout,2020-06,10,3,,,,0.04303078167865102,
Dummy[Preholdout prior probability],holdout,2020-07,10,3,,,,0.027323037893642533,
Dummy[Preholdout prior probability],holdout,2020-08,10,3,,,,-0.03511881981333548,
Dummy[Preholdout prior probability],holdout,2020-09,10,3,,,,-0.009619285100249831,
Dummy[Preholdout prior probability],holdout,2020-10,10,3,,,,0.10737745886828157,
Dummy[Preholdout prior probability],holdout,2020-11,10,3,,,,0.041583092227601134,
Dummy[Preholdout prior probability],holdout,2020-12,10,3,,,,0.0027975609263885316,
Dummy[Preholdout prior probability],holdout,2021-01,10,3,,,,0.03372936041177198,
Dummy[Preholdout prior probability],holdout,2021-02,10,3,,,,0.0043366580051769745,
Dummy[Preholdout prior probability],holdout,2021-03,10,3,,,,0.030510715310320312,
Dummy[Preholdout prior probability],holdout,2021-04,10,3,,,,0.02519017633713,
Dummy[Preholdout prior probability],holdout,2021-05,10,3,,,,0.005973695354953601,
Dummy[Preholdout prior probability],holdout,2021-06,10,3,,,,-0.004461501428785264,
Dummy[Preholdout prior probability],holdout,2021-07,10,3,,,,0.013786835770342131,
Dummy[Preholdout prior probability],holdout,2021-08,10,3,,,,-0.020949428305555195,
Dummy[Preholdout prior probability],holdout,2021-09,10,3,,,,0.04368408123257754,
Dummy[Preholdout prior probability],holdout,2021-10,10,3,,,,-0.010032657500099573,
Dummy[Preholdout prior probability],holdout,2021-11,10,3,,,,0.009382366165720158,
Dummy[Preholdout prior probability],holdout,2021-12,10,3,,,,-0.01471491539586962,
Dummy[Preholdout prior probability],holdout,2022-01,10,3,,,,-0.006280973655074684,
Dummy[Preholdout prior probability],holdout,2022-02,10,3,,,,0.009367425833817744,
Dummy[Preholdout prior probability],holdout,2022-03,10,3,,,,-0.07759241103445322,
Dummy[Preholdout prior probability],holdout,2022-04,10,3,,,,0.025403976563661657,
Dummy[Preholdout prior probability],holdout,2022-05,10,3,,,,-0.0769414837571198,
Dummy[Preholdout prior probability],holdout,2022-06,10,3,,,,0.053490282580425076,
Dummy[Preholdout prior probability],holdout,2022-07,10,3,,,,-0.03458492930431223,
Dummy[Preholdout prior probability],holdout,2022-08,10,3,,,,-0.06273537867047402,
Dummy[Preholdout prior probability],holdout,2022-09,10,3,,,,0.055960075109525144,
Dummy[Preholdout prior probability],holdout,2022-10,10,3,,,,0.06062200504296846,
Dummy[Preholdout prior probability],holdout,2022-11,10,3,,,,-0.031604307645788865,
Dummy[Preholdout prior probability],holdout,2022-12,10,3,,,,0.0606353301603076,
Dummy[Preholdout prior probability],holdout,2023-01,10,3,,,,-0.03528620100740516,
Dummy[Preholdout prior probability],holdout,2023-02,10,3,,,,0.023152613009971613,
Dummy[Preholdout prior probability],holdout,2023-03,10,3,,,,0.004398457018298163,
Dummy[Preholdout prior probability],holdout,2023-04,10,3,,,,-0.014266721375339885,
