Strategy,Objective,Model,month,Horizon Months,Return Column,Target Column,Selected Horizon Return,Universe Horizon Return,Active Horizon Return,Selected Target Rate,Monthly Turnover,Average Holdings,Diagnostic Type,Portfolio Diagnostic Caveat
benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],2020-01,1,forward_1m_vs_benchmark_return,target_outperform_benchmark_next_1m,-0.00641682770063634,0.03133617022397593,-0.03775299792461227,0.3333333333333333,1.0,3.0,one_month_score_to_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer
benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],2020-02,1,forward_1m_vs_benchmark_return,target_outperform_benchmark_next_1m,-0.004564040469604236,0.022393414747409225,-0.02695745521701346,0.6666666666666666,1.3333333333333333,3.0,one_month_score_to_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer
benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],2020-03,1,forward_1m_vs_benchmark_return,target_outperform_benchmark_next_1m,0.04059939334861018,-0.03550292307825642,0.0761023164268666,0.6666666666666666,1.3333333333333333,3.0,one_month_score_to_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer
benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],2020-04,1,forward_1m_vs_benchmark_return,target_outperform_benchmark_next_1m,0.002550892335642171,-0.0158793410340884,0.01843023336973057,0.6666666666666666,0.0,3.0,one_month_score_to_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer
benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],2020-05,1,forward_1m_vs_benchmark_return,target_outperform_benchmark_next_1m,-0.015830652927301715,-0.0006214973857633588,-0.015209155541538356,0.3333333333333333,0.6666666666666666,3.0,one_month_score_to_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer
benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],2020-06,1,forward_1m_vs_benchmark_return,target_outperform_benchmark_next_1m,-0.05440370829272963,-0.01753678041166353,-0.036866927881066096,0.0,0.0,3.0,one_month_score_to_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer
benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],2020-07,1,forward_1m_vs_benchmark_return,target_outperform_benchmark_next_1m,-0.04494828717932168,-0.03934959506884729,-0.005598692110474389,0.0,0.0,3.0,one_month_score_to_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer
benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],2020-08,1,forward_1m_vs_benchmark_return,target_outperform_benchmark_next_1m,-0.025157988226193934,-0.0032288541175911623,-0.021929134108602772,0.6666666666666666,0.6666666666666666,3.0,one_month_score_to_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer
benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],2020-09,1,forward_1m_vs_benchmark_return,target_outperform_benchmark_next_1m,0.0177280507552926,0.012560754818217678,0.0051672959370749234,0.6666666666666666,0.6666666666666666,3.0,one_month_score_to_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer
benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],2020-10,1,forward_1m_vs_benchmark_return,target_outperform_benchmark_next_1m,0.11113782292193064,0.0002606665267982589,0.11087715639513238,1.0,0.6666666666666666,3.0,one_month_score_to_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer
