month,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct],benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct] Calibration Base,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibrated,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibration Base,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched],benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched] Calibrated,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched] Calibration Base
2020-01,-0.022584224663905375,-0.011697667466576706,-0.00641682770063634,-0.03364911095221686,-0.03364911095221686,-0.00641682770063634,-0.00641682770063634,-0.00641682770063634
2020-02,-0.08505830305070791,-0.08808113435832518,-0.004564040469604236,-0.004564040469604236,-0.004564040469604236,-0.08505830305070791,-0.004564040469604236,-0.004564040469604236
2020-03,0.002441213292157185,0.06754675845358944,0.04059939334861018,-0.029150693709407184,-0.029150693709407184,0.026787027852299694,0.04059939334861018,0.04059939334861018
2020-04,0.014207672130443012,-0.012631812579632602,0.002550892335642171,-0.00044770148620158247,-0.00044770148620158247,-0.008794376730749748,-0.00044770148620158247,-0.00044770148620158247
2020-05,0.008386203935294953,0.008139172578134273,-0.015830652927301715,-0.01239318463853848,-0.01239318463853848,-0.015830652927301715,-0.015830652927301715,-0.015830652927301715
2020-06,-0.009630030507954707,0.0044637455048629855,-0.05440370829272963,-0.05440370829272963,-0.05440370829272963,-0.05440370829272963,-0.05440370829272963,-0.05440370829272963
2020-07,-0.003202757464778605,-0.03124190090144496,-0.04494828717932168,-0.04494828717932168,-0.04494828717932168,-0.04494828717932168,-0.04494828717932168,-0.04494828717932168
2020-08,-0.0024600417042358598,-0.04039907905943755,-0.025157988226193934,-0.04181061707525243,-0.04181061707525243,-0.025157988226193934,-0.03153371375319054,-0.03153371375319054
2020-09,0.020415807232300187,0.020415807232300187,0.0177280507552926,0.0177280507552926,0.0177280507552926,0.020415807232300187,0.020415807232300187,0.020415807232300187
2020-10,0.04879139542945521,0.09118617963966764,0.11113782292193064,0.11113782292193064,0.11113782292193064,0.04879139542945521,0.04879139542945521,0.04879139542945521
2020-11,0.02637349807940814,0.009410846072903212,0.02000860609079121,0.001264883963225399,0.001264883963225399,0.02000860609079121,0.00762977595184233,0.00762977595184233
2020-12,0.01649828975928158,-0.010295044295704714,0.009817684997013038,0.003769878220441095,0.003769878220441095,0.003769878220441095,-0.005750016282518811,-0.005750016282518811
2021-01,0.09090716454164215,0.03485276962665155,-0.04698213135230518,-0.028601366757142085,-0.028601366757142085,-0.014549665352586245,0.0013380045022005245,0.0013380045022005245
2021-02,-0.020106556543464976,-0.027146928998817987,-0.030617040609526303,-0.03926677474003726,-0.03926677474003726,-0.030617040609526303,-0.03620501294551977,-0.03620501294551977
2021-03,-0.003707252655244779,-0.003707252655244779,-0.030093503373760155,-0.03580170557339557,-0.03580170557339557,-0.02430391642450025,-0.03001211862413566,-0.03001211862413566
2021-04,0.005425486908399649,0.010902958551052683,0.02640488757397604,0.04821261892507245,0.04821261892507245,0.022176418956682837,0.02640488757397604,0.02640488757397604
2021-05,-0.005505839161210797,-0.026007926933072224,0.011926310413678051,-0.003443632152742829,-0.003443632152742829,0.011926310413678051,0.011926310413678051,0.011926310413678051
2021-06,-0.02819828265335962,-0.061655992242894454,-0.009281670695702588,-0.003077083597072816,-0.003077083597072816,-0.009262666148102006,-0.017066568901166236,-0.017066568901166236
