Model,Base Model,Family,Calibration,Evaluation Window,Rows,Positive Rows,Positive Rate,Score Type,Average Precision,ROC AUC,Brier Score,Log Loss,ECE Quantile 10,Fit Seconds,Predict Seconds,Calibration Seconds,Workflow Seconds,CV/Validation Average Precision,Best Params,Timing Notes,Objective,Target Column,Return Column,Portfolio Return Column,Horizon Months,Portfolio Diagnostic Caveat,Training Label Resolution Cutoff
ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct] Calibration Base,TabPFN,objective_specific_calibration_base,none_calibration_base,calibration,230,85,0.3695652173913043,probability,0.46740223476885073,0.6097768762677485,0.2202870148054763,0.6144099668744581,0.07218521615356187,1.4070378670000991,3.0689419609999504,0.0,4.47597982800005,,,objective-specific direct TabPFN context excludes calibration-window labels,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibration Base,XGBoost,objective_specific_calibration_base,none_calibration_base,calibration,230,85,0.3695652173913043,probability,0.4426629425195047,0.6197160243407708,0.23093294886402094,0.6404755590834411,0.10587750365147772,0.6994816320000155,0.009528911499955939,0.0,0.7090105434999714,0.462507854591798,,objective-specific base model excludes calibration-window labels,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibrated,XGBoost,objective_specific_calibrated,sigmoid,calibration,230,85,0.3695652173913043,probability,0.4426629425195047,0.6197160243407708,0.22100299688355948,0.6267989519606831,0.07614464206962222,0.6994816320000155,0.0036050414998953784,0.0077393340000071476,0.710826007499918,0.462507854591798,,sigmoid calibration fitted on objective-specific calibration window,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched] Calibration Base,XGBoost,objective_specific_searched_calibration_base,none_calibration_base,calibration,230,85,0.3695652173913043,probability,0.41546364823893334,0.5992697768762678,0.24060086305556827,0.6648369170690708,0.11476118085986896,5.971607402000018,0.02648611200004325,0.0,5.998093514000061,0.4941751147823172,"{""colsample_bylevel"": 0.6872700594236812, ""colsample_bytree"": 0.9728928685254539, ""gamma"": 0.40955834936192403, ""learning_rate"": 0.037069753392781075, ""max_bin"": 742, ""max_delta_step"": 1, ""max_depth"": 4, ""min_child_weight"": 0.10454460591631218, ""n_estimators"": 1882, ""reg_alpha"": 11.567327199145982, ""reg_lambda"": 6.153465757494016, ""scale_pos_weight"": 1.3880597014925373, ""subsample"": 0.5592630224331111}",searched objective-specific base model excludes calibration-window labels,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched] Calibrated,XGBoost,objective_specific_searched_calibrated,sigmoid,calibration,230,85,0.3695652173913043,probability,0.41546364823893334,0.5992697768762678,0.2248883558357894,0.6379017807148887,0.10316840608807004,5.971607402000018,0.007732841500001086,0.011000254999999015,5.990340498500018,0.4941751147823172,"{""colsample_bylevel"": 0.6872700594236812, ""colsample_bytree"": 0.9728928685254539, ""gamma"": 0.40955834936192403, ""learning_rate"": 0.037069753392781075, ""max_bin"": 742, ""max_delta_step"": 1, ""max_depth"": 4, ""min_child_weight"": 0.10454460591631218, ""n_estimators"": 1882, ""reg_alpha"": 11.567327199145982, ""reg_lambda"": 6.153465757494016, ""scale_pos_weight"": 1.3880597014925373, ""subsample"": 0.5592630224331111}",sigmoid calibration fitted on objective-specific calibration window after target-specific search,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct],TabPFN,objective_specific,none,holdout,750,300,0.4,probability,0.48703767183179353,0.6127518518518519,0.2221003795170154,0.6181419554191159,0.03848167100946497,1.4942107230001511,4.09096595799997,0.0,5.585176681000121,,,objective-specific direct TabPFN rerun with training labels restricted to those resolved before holdout; separate from main one-month target,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct] Calibration Base,TabPFN,objective_specific_calibration_base,none_calibration_base,holdout,750,300,0.4,probability,0.47597885694570047,0.6013037037037037,0.22366502820704492,0.6213699679321186,0.060616868345066896,1.4070378670000991,3.0689419609999504,0.0,4.47597982800005,,,objective-specific direct TabPFN context excludes calibration-window labels,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched],XGBoost,objective_specific_searched,none,holdout,750,300,0.4,probability,0.4504875179175735,0.5659851851851851,0.24826773963250814,0.6794785056635462,0.15050806944444778,6.301752714000031,0.04463534499996058,0.0,6.346388058999992,0.4941751147823172,"{""colsample_bylevel"": 0.6872700594236812, ""colsample_bytree"": 0.9728928685254539, ""gamma"": 0.40955834936192403, ""learning_rate"": 0.037069753392781075, ""max_bin"": 742, ""max_delta_step"": 1, ""max_depth"": 4, ""min_child_weight"": 0.10454460591631218, ""n_estimators"": 1882, ""reg_alpha"": 11.567327199145982, ""reg_lambda"": 6.153465757494016, ""scale_pos_weight"": 1.3880597014925373, ""subsample"": 0.5592630224331111}",objective-specific GPU XGBoost with target-specific chronological randomized search; training labels restricted to outcomes resolved before validation or holdout,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched] Calibration Base,XGBoost,objective_specific_searched_calibration_base,none_calibration_base,holdout,750,300,0.4,probability,0.44072573657366776,0.546274074074074,0.25059769993098563,0.6841649122107922,0.1517252107597888,5.971607402000018,0.02648611200004325,0.0,5.998093514000061,0.4941751147823172,"{""colsample_bylevel"": 0.6872700594236812, ""colsample_bytree"": 0.9728928685254539, ""gamma"": 0.40955834936192403, ""learning_rate"": 0.037069753392781075, ""max_bin"": 742, ""max_delta_step"": 1, ""max_depth"": 4, ""min_child_weight"": 0.10454460591631218, ""n_estimators"": 1882, ""reg_alpha"": 11.567327199145982, ""reg_lambda"": 6.153465757494016, ""scale_pos_weight"": 1.3880597014925373, ""subsample"": 0.5592630224331111}",searched objective-specific base model excludes calibration-window labels,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched] Calibrated,XGBoost,objective_specific_searched_calibrated,sigmoid,holdout,750,300,0.4,probability,0.44072573657366776,0.546274074074074,0.23835263361737413,0.6673563883318214,0.1156569809481677,5.971607402000018,0.007732841500001086,0.011000254999999015,5.990340498500018,0.4941751147823172,"{""colsample_bylevel"": 0.6872700594236812, ""colsample_bytree"": 0.9728928685254539, ""gamma"": 0.40955834936192403, ""learning_rate"": 0.037069753392781075, ""max_bin"": 742, ""max_delta_step"": 1, ""max_depth"": 4, ""min_child_weight"": 0.10454460591631218, ""n_estimators"": 1882, ""reg_alpha"": 11.567327199145982, ""reg_lambda"": 6.153465757494016, ""scale_pos_weight"": 1.3880597014925373, ""subsample"": 0.5592630224331111}",sigmoid calibration fitted on objective-specific calibration window after target-specific search,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],XGBoost,objective_specific,none,holdout,750,300,0.4,probability,0.42501069433582506,0.5404148148148149,0.2468728059465406,0.6735256663565761,0.13464522890622416,0.7185253600000578,0.01597857699994165,0.0,0.7345039369999995,0.462507854591798,,objective-specific fixed GPU XGBoost; training labels restricted to those resolved before holdout; chronological fixed-model CV AP saved; no target-specific hyperparameter search,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibration Base,XGBoost,objective_specific_calibration_base,none_calibration_base,holdout,750,300,0.4,probability,0.401060830110791,0.5152740740740741,0.2517879253696865,0.6839902089770588,0.16468060858671862,0.6994816320000155,0.009528911499955939,0.0,0.7090105434999714,0.462507854591798,,objective-specific base model excludes calibration-window labels,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibrated,XGBoost,objective_specific_calibrated,sigmoid,holdout,750,300,0.4,probability,0.401060830110791,0.5152740740740741,0.2468316794246394,0.6836339116787469,0.14523624901688653,0.6994816320000155,0.0036050414998953784,0.0077393340000071476,0.710826007499918,0.462507854591798,,sigmoid calibration fitted on objective-specific calibration window,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[top_k_next_3m][XGBoost searched] Calibrated,XGBoost,objective_specific_searched_calibrated,sigmoid,calibration,210,63,0.3,probability,0.3458728220872683,0.565381708238851,0.20662022879065522,0.6012699011048259,0.07377459820323852,11.177791626000044,0.01245266950002133,0.014522506999810503,11.204766802499876,0.36538756773300535,"{""colsample_bylevel"": 0.9849549260809971, ""colsample_bytree"": 0.907843452440232, ""gamma"": 0.00021774846673949344, ""learning_rate"": 0.0064380360133489065, ""max_bin"": 404, ""max_delta_step"": 0, ""max_depth"": 5, ""min_child_weight"": 4.558060845880422, ""n_estimators"": 2700, ""reg_alpha"": 0.01055881377906483, ""reg_lambda"": 0.5147650321325028, ""scale_pos_weight"": 2.3333333333333335, ""subsample"": 0.729937437271865}",sigmoid calibration fitted on objective-specific calibration window after target-specific search,top_k_next_3m,target_top_k_next_3m,forward_3m_return,forward_3m_return,3,3-month overlapping forward-return diagnostic; not a monthly executable backtest,2020-01-01
ObjectiveSpecific[top_k_next_3m][XGBoost light] Calibrated,XGBoost,objective_specific_calibrated,sigmoid,calibration,210,63,0.3,probability,0.34286673469675755,0.5465932404707915,0.20842389137014153,0.6067114147428632,0.10926069474971753,0.6784872480000104,0.0037885914999833403,0.007984285000020463,0.6902601245000142,0.32272234118861715,,sigmoid calibration fitted on objective-specific calibration window,top_k_next_3m,target_top_k_next_3m,forward_3m_return,forward_3m_return,3,3-month overlapping forward-return diagnostic; not a monthly executable backtest,2020-01-01
ObjectiveSpecific[top_k_next_3m][TabPFN direct] Calibration Base,TabPFN,objective_specific_calibration_base,none_calibration_base,calibration,210,63,0.3,probability,0.2903320506462437,0.481103552532124,0.22951771665414752,0.689401028188126,0.11682133279918205,1.5287902229999872,3.0362135770000123,0.0,4.5650037999999995,,,objective-specific direct TabPFN context excludes calibration-window labels,top_k_next_3m,target_top_k_next_3m,forward_3m_return,forward_3m_return,3,3-month overlapping forward-return diagnostic; not a monthly executable backtest,2020-01-01
ObjectiveSpecific[top_k_next_3m][XGBoost light] Calibration Base,XGBoost,objective_specific_calibration_base,none_calibration_base,calibration,210,63,0.3,probability,0.26762253312684314,0.4534067595292085,0.2529848377800928,0.7136402668545748,0.1990271682895365,0.6784872480000104,0.009653745500031619,0.0,0.688140993500042,0.32272234118861715,,objective-specific base model excludes calibration-window labels,top_k_next_3m,target_top_k_next_3m,forward_3m_return,forward_3m_return,3,3-month overlapping forward-return diagnostic; not a monthly executable backtest,2020-01-01
ObjectiveSpecific[top_k_next_3m][XGBoost searched] Calibration Base,XGBoost,objective_specific_searched_calibration_base,none_calibration_base,calibration,210,63,0.3,probability,0.2556418578184214,0.4346182917611489,0.26298800693550156,0.7799664414601385,0.22548387601439443,11.177791626000044,0.03907699199999115,0.0,11.216868618000035,0.36538756773300535,"{""colsample_bylevel"": 0.9849549260809971, ""colsample_bytree"": 0.907843452440232, ""gamma"": 0.00021774846673949344, ""learning_rate"": 0.0064380360133489065, ""max_bin"": 404, ""max_delta_step"": 0, ""max_depth"": 5, ""min_child_weight"": 4.558060845880422, ""n_estimators"": 2700, ""reg_alpha"": 0.01055881377906483, ""reg_lambda"": 0.5147650321325028, ""scale_pos_weight"": 2.3333333333333335, ""subsample"": 0.729937437271865}",searched objective-specific base model excludes calibration-window labels,top_k_next_3m,target_top_k_next_3m,forward_3m_return,forward_3m_return,3,3-month overlapping forward-return diagnostic; not a monthly executable backtest,2020-01-01
ObjectiveSpecific[top_k_next_3m][TabPFN direct],TabPFN,objective_specific,none,holdout,730,219,0.3,probability,0.40983566281969075,0.6304452724981906,0.2043940845641799,0.5983143762072902,0.08413543342421315,1.471164895000129,3.974508750000041,0.0,5.44567364500017,,,objective-specific direct TabPFN rerun with training labels restricted to those resolved before holdout; separate from main one-month target,top_k_next_3m,target_top_k_next_3m,forward_3m_return,forward_3m_return,3,3-month overlapping forward-return diagnostic; not a monthly executable backtest,2020-01-01
ObjectiveSpecific[top_k_next_3m][TabPFN direct] Calibration Base,TabPFN,objective_specific_calibration_base,none_calibration_base,holdout,730,219,0.3,probability,0.35549741153200676,0.5756954311092048,0.20906152580324147,0.6138285319472406,0.05816981682222184,1.5287902229999872,3.0362135770000123,0.0,4.5650037999999995,,,objective-specific direct TabPFN context excludes calibration-window labels,top_k_next_3m,target_top_k_next_3m,forward_3m_return,forward_3m_return,3,3-month overlapping forward-return diagnostic; not a monthly executable backtest,2020-01-01
ObjectiveSpecific[top_k_next_3m][XGBoost searched],XGBoost,objective_specific_searched,none,holdout,730,219,0.3,probability,0.339085090341707,0.5298769535962256,0.2295090846742426,0.6749393071867905,0.13020831454060464,11.566353640000216,0.07438458900014666,0.0,11.640738229000362,0.36538756773300535,"{""colsample_bylevel"": 0.9849549260809971, ""colsample_bytree"": 0.907843452440232, ""gamma"": 0.00021774846673949344, ""learning_rate"": 0.0064380360133489065, ""max_bin"": 404, ""max_delta_step"": 0, ""max_depth"": 5, ""min_child_weight"": 4.558060845880422, ""n_estimators"": 2700, ""reg_alpha"": 0.01055881377906483, ""reg_lambda"": 0.5147650321325028, ""scale_pos_weight"": 2.3333333333333335, ""subsample"": 0.729937437271865}",objective-specific GPU XGBoost with target-specific chronological randomized search; training labels restricted to outcomes resolved before validation or holdout,top_k_next_3m,target_top_k_next_3m,forward_3m_return,forward_3m_return,3,3-month overlapping forward-return diagnostic; not a monthly executable backtest,2020-01-01
ObjectiveSpecific[top_k_next_3m][XGBoost searched] Calibration Base,XGBoost,objective_specific_searched_calibration_base,none_calibration_base,holdout,730,219,0.3,probability,0.32753608164113934,0.5195650037083702,0.23412454751572742,0.6917106884923105,0.12724752174307633,11.177791626000044,0.03907699199999115,0.0,11.216868618000035,0.36538756773300535,"{""colsample_bylevel"": 0.9849549260809971, ""colsample_bytree"": 0.907843452440232, ""gamma"": 0.00021774846673949344, ""learning_rate"": 0.0064380360133489065, ""max_bin"": 404, ""max_delta_step"": 0, ""max_depth"": 5, ""min_child_weight"": 4.558060845880422, ""n_estimators"": 2700, ""reg_alpha"": 0.01055881377906483, ""reg_lambda"": 0.5147650321325028, ""scale_pos_weight"": 2.3333333333333335, ""subsample"": 0.729937437271865}",searched objective-specific base model excludes calibration-window labels,top_k_next_3m,target_top_k_next_3m,forward_3m_return,forward_3m_return,3,3-month overlapping forward-return diagnostic; not a monthly executable backtest,2020-01-01
