Strategy,Max Drawdown,Average Drawdown,Ulcer Index,Longest Drawdown Months,Final Equity
Rule[Risk-adjusted momentum top-k],-0.13955134544917114,-0.029599768619807485,0.04706265235742466,20,2.7462569436868987
Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,-0.13993254904624808,-0.03052979682727282,0.048907976328575964,20,2.6991781361534426
12M momentum top-k portfolio,-0.147482182369586,-0.02055760946376225,0.03777516416632649,9,2.4728051864024643
Rule[6M momentum top-k],-0.15297955997411228,-0.035420227550066616,0.05334592313632808,31,2.1670878867667986
Rule[6M momentum top-k] | inverse-vol capped top-k,-0.16228304883692102,-0.0382015812205875,0.05848927801827593,27,2.160469585930115
Equal weight universe,-0.1781258694742598,-0.02866468522430295,0.051091276607553165,25,1.9923188463429855
Inverse volatility universe,-0.18475976008626027,-0.03237007573223131,0.05629796548784404,25,1.6322493705193108
Low volatility top-k portfolio,-0.2031136210024156,-0.03990846959562984,0.06648547612957266,25,1.4750624721593868
SPY only,-0.233129020498404,-0.04311749202210283,0.07451089658301653,23,2.439462324451691
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,-0.24486660114736414,-0.07215564856462574,0.10772606348868272,29,1.8760171689984184
XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k,-0.24486660114736414,-0.07215564856462574,0.10772606348868272,29,1.8760171689984184
XGBoost[GPU allocation scorer] Calibrated,-0.2478713826210135,-0.07270586565612049,0.10873397702635294,29,1.895993396030712
XGBoost[GPU allocation scorer] Calibration Base,-0.2478713826210135,-0.07270586565612049,0.10873397702635294,29,1.895993396030712
60/40 SPY/TLT,-0.24937020711910918,-0.06535802153558036,0.10096258819910758,31,1.5407516417977707
XGBoost[GPU allocation scorer] | inverse-vol capped top-k,-0.2517310824649418,-0.07994752430720138,0.11533151063635402,37,1.5419952251227658
XGBoost[GPU allocation scorer],-0.2530261345740664,-0.08174361348069194,0.11704741243216399,37,1.5233625580294332
TabPFN[Direct allocation scorer] | inverse-vol capped top-k,-0.2762079824520337,-0.06468549090512342,0.10282515530516487,32,2.1966854884786033
TabPFN[Direct allocation scorer],-0.28179624195674824,-0.06663202967373713,0.1052833230101663,32,2.2088325178384878
TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,-0.3384535424847046,-0.09587046369993599,0.14272504383039203,49,2.3067655109334937
TabPFN[Direct allocation scorer] Calibration Base,-0.34124205967328636,-0.09595144987294245,0.1433606425064839,48,2.3422192151062533
