Strategy,month,Lookback Months Used,Configured Lookback Months,Weight Coverage,Ex-Ante Monthly Volatility,Ex-Ante Annualized Volatility,Ex-Ante 95pct Monthly VaR Proxy,Ex-Ante Beta To Benchmark,Realized Gross Return,Realized Net Return
Equal weight universe,2020-01,36,36,1.0,0.028654999544210226,0.09926383020287026,0.047137474250225825,0.680805009506967,-0.04641258515644843,-0.04691258515644842
Equal weight universe,2020-02,36,36,1.0,0.02989356221412638,0.10355433714817613,0.04917490984223789,0.6761275572244542,-0.14115509020021685,-0.14115509020021688
Equal weight universe,2020-03,36,36,1.0,0.038642069339451635,0.1338600548110595,0.06356620406339794,0.7327406131372706,0.11503327685521758,0.11503327685521758
Equal weight universe,2020-04,36,36,1.0,0.04300200514207341,0.1489633154668185,0.07073829845871077,0.7404871896673115,0.048296551938624796,0.048296551938624796
Equal weight universe,2020-05,36,36,1.0,0.04361205348150537,0.15107658490475687,0.07174182797707633,0.7415712878270907,0.023462636876015224,0.023462636876015224
Equal weight universe,2020-06,36,36,1.0,0.04371042768097518,0.15141736312802814,0.07190365353520417,0.7424458677665828,0.04303078167865102,0.04303078167865102
Equal weight universe,2020-07,36,36,1.0,0.04406019130290791,0.15262897985568175,0.07247901469328352,0.7414965149696376,0.027323037893642536,0.027323037893642536
Equal weight universe,2020-08,36,36,1.0,0.0441900930013229,0.15307897253897024,0.07269270298717617,0.7327380248695238,-0.035118819813335485,-0.035118819813335485
Equal weight universe,2020-09,36,36,1.0,0.04472637617459025,0.15493671194565686,0.07357488880720096,0.7359374033091854,-0.009619285100249833,-0.009619285100249833
Equal weight universe,2020-10,36,36,1.0,0.044740975782172475,0.15498728646986282,0.07359890516167372,0.7331923965353273,0.10737745886828157,0.10737745886828157
Equal weight universe,2020-11,36,36,1.0,0.0478720448453807,0.1658336278688303,0.07874951377065124,0.7561657387673308,0.04158309222760114,0.04158309222760114
Equal weight universe,2020-12,36,36,1.0,0.04814092748087855,0.1667650646407409,0.07919182570604522,0.758509836094144,0.002797560926388531,0.002797560926388531
Equal weight universe,2021-01,36,36,1.0,0.04800401324897059,0.16629077982885318,0.07896660179455663,0.7593727555507817,0.03372936041177198,0.03372936041177198
Equal weight universe,2021-02,36,36,1.0,0.04755760074347077,0.16474436154753355,0.07823225322300942,0.7570943615854557,0.0043366580051769745,0.004336658005176974
