Strategy,Risk Observation Months,Average Ex-Ante Annualized Volatility,Median Ex-Ante Annualized Volatility,Max Ex-Ante Annualized Volatility,Average Ex-Ante Monthly VaR Proxy,Average Ex-Ante Beta To Benchmark,Average Weight Coverage,Realized Net Annualized Volatility,Realized/Predicted Vol Ratio,Risk Model Caveat
Low volatility top-k portfolio,75,0.10214272765252319,0.10053782519327281,0.13866984883309366,0.048504577999141325,0.34964592871500777,1.0,0.09272628656116495,0.907810949366931,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
Inverse volatility universe,75,0.11294510106841624,0.11881423225292648,0.15596657932034957,0.05363430750577341,0.5808558853082417,1.0,0.11151416348128201,0.9873306803606521,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
60/40 SPY/TLT,75,0.12401014706403703,0.12461201371216775,0.14825003833965164,0.058888772497001,0.6433754365923439,1.0,0.12847140219654052,1.0359749201023023,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
Equal weight universe,75,0.14222352188988666,0.1394173957071647,0.1769136457967567,0.06753776866316319,0.7368357328139038,1.0,0.13969673561423634,0.9822336963529379,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,75,0.14727634160530706,0.14067196671245782,0.2828053211503696,0.06993720417496932,0.6914527587595349,1.0,0.18720740878912942,1.271130221925498,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k,75,0.14727634160530706,0.14067196671245782,0.2828053211503696,0.06993720417496932,0.6914527587595349,1.0,0.18720740878912942,1.271130221925498,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
XGBoost[GPU allocation scorer] Calibrated,75,0.15018898283223106,0.14283515358292964,0.2868382105865618,0.07132033185152262,0.7063782894645352,1.0,0.19176079502706433,1.2767966824921584,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
XGBoost[GPU allocation scorer] Calibration Base,75,0.15018898283223106,0.14283515358292964,0.2868382105865618,0.07132033185152262,0.7063782894645352,1.0,0.19176079502706433,1.2767966824921584,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
XGBoost[GPU allocation scorer] | inverse-vol capped top-k,75,0.15185416954780165,0.13762692125072712,0.2935762126421554,0.07211108006027707,0.7086270388867684,1.0,0.186667549759231,1.2292553461989106,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
XGBoost[GPU allocation scorer],75,0.15473150005768968,0.14283515358292964,0.29988001766116146,0.07347743971557189,0.723172798457943,1.0,0.19113382336253984,1.2352612318194938,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
TabPFN[Direct allocation scorer] | inverse-vol capped top-k,75,0.16600640630475647,0.16088169260828988,0.2736372444643082,0.07883156116956606,0.8298501911706496,1.0,0.16491622513170912,0.9934328969747952,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
TabPFN[Direct allocation scorer],75,0.16768286409132221,0.16488848698980932,0.2743399842415706,0.07962766167852614,0.8405025249305976,1.0,0.167751601359095,1.0004099242229985,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,75,0.17802903961877045,0.16429372679406345,0.31737725083093465,0.08454075622179215,0.808352056324343,1.0,0.13932680880502946,0.78260720331572,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
12M momentum top-k portfolio,75,0.1803153557834729,0.18092372368398796,0.3236233230850176,0.08562646054250274,0.828343897993791,1.0,0.1361970762856219,0.7553271084087296,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
Rule[Risk-adjusted momentum top-k],75,0.18130988424482145,0.16716545917744674,0.322529821700438,0.08609873286608853,0.818739037054523,1.0,0.14194289497209364,0.7828745551479651,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
SPY only,75,0.18144570615333783,0.17569929602595946,0.22369466267415333,0.08616323069679101,1.0,1.0,0.17820435708210886,0.9821359835956122,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
Rule[6M momentum top-k] | inverse-vol capped top-k,75,0.1815040436973284,0.17979057515098582,0.31766591489400475,0.08619093348109882,0.8426822211516778,1.0,0.14725184036437422,0.8112868306665812,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
Rule[6M momentum top-k],75,0.18415067274154975,0.18092372368398796,0.32256780482210384,0.0874477397938002,0.8501261702410512,1.0,0.1499007763413166,0.8140115597171784,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,75,0.1923319797006907,0.1783305441870772,0.29523240707725185,0.0913328019088882,0.9775870455048815,1.0,0.19043940480058102,0.9901598532752852,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
TabPFN[Direct allocation scorer] Calibration Base,75,0.19419165057410964,0.17928016328438287,0.3011381813571347,0.09221590492567211,0.9860624054216275,1.0,0.19379227858940543,0.9979434132027638,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
