Strategy,Average Weighted ADV USD,Minimum Weighted ADV USD,Average Weighted Spread Proxy Bps,Max Weighted Spread Proxy Bps,Average Turnover-Weighted Participation Bps,Max Turnover-Weighted Participation Bps,Impact Proxy Notional USD
Inverse volatility universe,6367489459.403953,3259758289.464103,108.17115443837451,366.01684460658385,0.11629762303405267,1.3086409340606955,1000000.0
SPY only,35545341739.84786,19137785987.69536,129.27897924207687,535.086091771289,0.5225264827618775,0.5225264827618775,1000000.0
Equal weight universe,7266139747.180908,3539807166.4665675,132.1717119666979,474.33675417018804,0.8051933618508977,0.8051933618508977,1000000.0
TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,8470500487.349414,2869313769.9284453,160.68321711660664,545.5368425874375,1.1386177887219118,3.1871925126313894,1000000.0
Rule[6M momentum top-k] | inverse-vol capped top-k,8415807304.880924,1160089777.5182095,140.68395013325858,274.30088144650335,1.225880784043663,3.373646504019524,1000000.0
12M momentum top-k portfolio,8527519446.5088625,1346624699.4437363,141.3539843528993,282.99322192096895,1.3867594194945179,2.5734010105301466,1000000.0
TabPFN[Direct allocation scorer] | inverse-vol capped top-k,7690989656.3070965,2416611255.2558746,143.71202309329377,545.5368425874375,1.3962047229568253,3.2423556778486335,1000000.0
Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,7897640286.079274,1074867803.1611233,137.33084597900398,274.30088144650335,1.4214434093463268,3.273263542127066,1000000.0
Rule[6M momentum top-k],8337038164.977944,1199042609.4720385,142.84105700727793,282.99322192096895,1.4585901913312003,3.2129966704947845,1000000.0
Rule[Risk-adjusted momentum top-k],7805315778.658853,1092363548.525565,139.60629516744112,282.99322192096895,1.491013253088292,3.117393849644825,1000000.0
60/40 SPY/TLT,22424733517.932095,11967158248.406002,117.43562646555537,503.7876676268861,1.5090953490960886,1.5090953490960886,1000000.0
Low volatility top-k portfolio,6588314536.298581,965367698.4164565,76.7804675076432,282.99322192096895,1.666840811647562,3.991532727229494,1000000.0
TabPFN[Direct allocation scorer],7891031063.641335,2359089719.6531982,145.74830635445758,556.9567458055285,1.6746700618399495,3.0879577884272704,1000000.0
XGBoost[GPU allocation scorer] | inverse-vol capped top-k,5414767409.775891,1022983819.2543612,140.00578486917993,588.1820123378379,1.7126720999782417,3.079484437122171,1000000.0
XGBoost[GPU allocation scorer],5492015668.809304,1036785051.8545988,142.36775566278337,597.5711931868623,1.7177711961629765,3.1858323511178495,1000000.0
XGBoost[GPU allocation scorer] Calibrated,5416725104.159693,952844578.5251698,139.6760658701507,460.0476938176838,1.7870164785950766,3.4550277139409666,1000000.0
XGBoost[GPU allocation scorer] Calibration Base,5416725104.159693,952844578.5251698,139.6760658701507,460.0476938176838,1.7870164785950766,3.4550277139409666,1000000.0
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,5343130505.427949,939116541.9380884,137.24269165569632,443.78233800020047,1.794503550591219,3.6277790996380146,1000000.0
XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k,5343130505.427949,939116541.9380884,137.24269165569632,443.78233800020047,1.794503550591219,3.6277790996380146,1000000.0
TabPFN[Direct allocation scorer] Calibration Base,8524017467.776503,2781449330.3061166,162.74019671755286,556.9567458055285,1.8178170840150276,3.0909231777733024,1000000.0
