Strategy,Average Holdings,Max Holdings,Average Max Asset Weight,Max Asset Weight,Average Gross Leverage,Max Gross Leverage,Average Monthly Turnover,Max Monthly Turnover,Months Above 50pct Turnover,Months Above 100pct Turnover
Equal weight universe,10.0,10,0.09999999999999998,0.1,0.9999999999999998,0.9999999999999999,0.013333333333333334,1.0,1,0
60/40 SPY/TLT,2.0,2,0.6,0.6,1.0,1.0,0.013333333333333334,1.0,1,0
SPY only,1.0,1,1.0,1.0,1.0,1.0,0.013333333333333334,1.0,1,0
Inverse volatility universe,10.0,10,0.23924369409372168,0.418948452790736,1.0,1.0000000000000002,0.08693436463561786,1.0,1,0
Low volatility top-k portfolio,3.0,3,0.33333333333333326,0.3333333333333333,1.0,1.0,0.3511111111111111,1.3333333333333333,35,4
TabPFN[Direct allocation scorer] Calibration Base,3.0,3,0.33333333333333326,0.3333333333333333,1.0,1.0,0.3955555555555555,1.3333333333333333,40,4
12M momentum top-k portfolio,3.0,3,0.33333333333333326,0.3333333333333333,1.0,1.0,0.39555555555555555,1.3333333333333333,43,1
TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,3.0,3,0.34975075781167475,0.35000000000000003,1.0,1.0000000000000002,0.4152822771556492,1.3568166742931953,40,5
Rule[6M momentum top-k],3.0,3,0.33333333333333326,0.3333333333333333,1.0,1.0,0.4755555555555555,1.3333333333333333,46,7
Rule[6M momentum top-k] | inverse-vol capped top-k,3.0,3,0.3496848842609026,0.35,1.0,1.0000000000000002,0.48903038085670547,1.4,46,7
TabPFN[Direct allocation scorer],3.0,3,0.33333333333333326,0.3333333333333333,1.0,1.0,0.6177777777777778,1.3333333333333333,58,11
Rule[Risk-adjusted momentum top-k],3.0,3,0.33333333333333326,0.3333333333333333,1.0,1.0,0.6444444444444445,1.3333333333333333,61,11
TabPFN[Direct allocation scorer] | inverse-vol capped top-k,3.0,3,0.3497081022077775,0.35000000000000003,1.0,1.0,0.6473899360567333,1.4,58,11
Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,3.0,3,0.3500000000000001,0.35000000000000003,1.0,1.0000000000000002,0.6639367457175085,1.4000000000000001,61,11
XGBoost[GPU allocation scorer],3.0,3,0.33333333333333326,0.3333333333333333,1.0,1.0,1.0,2.0,68,41
XGBoost[GPU allocation scorer] | inverse-vol capped top-k,3.0,3,0.34997886433689,0.35000000000000003,1.0,1.0000000000000002,1.0189449838108275,2.0,68,41
XGBoost[GPU allocation scorer] Calibrated,3.0,3,0.33333333333333326,0.3333333333333333,1.0,1.0,1.097777777777778,2.0,74,39
XGBoost[GPU allocation scorer] Calibration Base,3.0,3,0.33333333333333326,0.3333333333333333,1.0,1.0,1.097777777777778,2.0,74,39
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,3.0,3,0.34978513865031025,0.35000000000000003,1.0,1.0000000000000002,1.1207812509571995,2.0,74,39
XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k,3.0,3,0.34978513865031025,0.35000000000000003,1.0,1.0000000000000002,1.1207812509571995,2.0,74,39
