Model,Metric,Point Estimate,Bootstrap Median,CI Lower,CI Upper,Bootstrap Iterations Requested,Bootstrap Iterations Used,Confidence Level
Dummy[Preholdout prior probability],average_precision,0.3,0.3,0.3,0.3,50,50,0.95
Dummy[Preholdout prior probability],mean_spearman_ic,,,,,50,0,0.95
Dummy[Preholdout prior probability],top_k_hit_rate,,,,,50,0,0.95
Rule[12M momentum top-k],average_precision,0.34121999227889555,0.34344098284636576,0.30622942427408567,0.37653401780541296,50,50,0.95
Rule[12M momentum top-k],mean_spearman_ic,0.06602020202020202,0.072,-0.029672727272727267,0.13062222222222217,50,50,0.95
Rule[12M momentum top-k],top_k_hit_rate,0.32444444444444437,0.31999999999999995,0.2721111111111111,0.3668888888888889,50,50,0.95
Rule[6M momentum top-k],average_precision,0.3362713573771303,0.33995386367643665,0.30481247336336637,0.38027717064521993,50,50,0.95
Rule[6M momentum top-k],mean_spearman_ic,0.01236363636363636,0.018020202020202027,-0.062327272727272724,0.10185858585858586,50,50,0.95
Rule[6M momentum top-k],top_k_hit_rate,0.33333333333333326,0.3288888888888889,0.2898888888888889,0.38566666666666666,50,50,0.95
Rule[Low volatility top-k],average_precision,0.2669621276993592,0.2703000608826688,0.2531728908791901,0.3008443913332926,50,50,0.95
Rule[Low volatility top-k],mean_spearman_ic,-0.062141414141414136,-0.07030303030303034,-0.14663030303030303,0.01998383838383837,50,50,0.95
Rule[Low volatility top-k],top_k_hit_rate,0.24888888888888885,0.25555555555555554,0.19211111111111112,0.31799999999999995,50,50,0.95
Rule[Risk-adjusted momentum top-k],average_precision,0.34203327556804386,0.34640297314971547,0.3101592440344647,0.38724973853157,50,50,0.95
Rule[Risk-adjusted momentum top-k],mean_spearman_ic,0.02270707070707072,0.01309090909090909,-0.07907070707070704,0.07634343434343434,50,50,0.95
Rule[Risk-adjusted momentum top-k],top_k_hit_rate,0.33333333333333326,0.3311111111111111,0.2672222222222222,0.3826666666666666,50,50,0.95
XGBoost[GPU allocation scorer],average_precision,0.31381969126379144,0.321088093895938,0.2842784886638645,0.34504094811221786,50,50,0.95
XGBoost[GPU allocation scorer],mean_spearman_ic,-0.03159595959595959,-0.03418181818181819,-0.0968080808080808,0.021652525252525246,50,50,0.95
XGBoost[GPU allocation scorer],top_k_hit_rate,0.3155555555555556,0.30666666666666664,0.25433333333333336,0.37477777777777777,50,50,0.95
XGBoost[GPU allocation scorer] Calibration Base,average_precision,0.31545285884619856,0.32190824512907,0.28842441006592884,0.34850028644348324,50,50,0.95
XGBoost[GPU allocation scorer] Calibration Base,mean_spearman_ic,-0.037898989898989884,-0.029979797979797978,-0.12121212121212123,0.030068686868686845,50,50,0.95
XGBoost[GPU allocation scorer] Calibration Base,top_k_hit_rate,0.3288888888888889,0.32888888888888884,0.28099999999999997,0.3822222222222222,50,50,0.95
XGBoost[GPU allocation scorer] Calibrated,average_precision,0.31545285884619856,0.32154857476601206,0.28564573136482235,0.3493251834099116,50,50,0.95
XGBoost[GPU allocation scorer] Calibrated,mean_spearman_ic,-0.037898989898989884,-0.03797979797979798,-0.10880404040404038,0.045026262626262636,50,50,0.95
XGBoost[GPU allocation scorer] Calibrated,top_k_hit_rate,0.3288888888888889,0.33333333333333337,0.2755555555555555,0.39111111111111113,50,50,0.95
TabPFN[Direct allocation scorer],average_precision,0.3633965543886501,0.36686024633796566,0.3385770305168706,0.3993880822527825,50,50,0.95
TabPFN[Direct allocation scorer],mean_spearman_ic,0.024095144065086557,0.02301682815713879,-0.016625976829699896,0.08905644638555735,50,50,0.95
TabPFN[Direct allocation scorer],top_k_hit_rate,0.3466666666666667,0.3466666666666667,0.30766666666666664,0.3911111111111111,50,50,0.95
TabPFN[Direct allocation scorer] Calibration Base,average_precision,0.33850771954944703,0.34731920368544167,0.31053095126556274,0.3745665772295603,50,50,0.95
TabPFN[Direct allocation scorer] Calibration Base,mean_spearman_ic,0.014747290160250698,0.011795827277295,-0.04459136592559617,0.062392503431511544,50,50,0.95
TabPFN[Direct allocation scorer] Calibration Base,top_k_hit_rate,0.33333333333333326,0.3288888888888889,0.27066666666666667,0.3777777777777778,50,50,0.95
