                                            Model Evaluation Window  months  mean_spearman_ic  median_spearman_ic  mean_top_k_hit_rate  mean_selected_forward_return  mean_universe_forward_return  mean_active_forward_return
        XGBoost[GPU allocation scorer] Calibrated       calibration      24          0.072727            0.078788             0.347222                      0.007595                      0.004192                    0.003402
  XGBoost[GPU allocation scorer] Calibration Base       calibration      24          0.072727            0.078788             0.347222                      0.007595                      0.004192                    0.003402
                       Rule[Low volatility top-k]       calibration      24         -0.036869            0.000000             0.305556                      0.004944                      0.004192                    0.000752
TabPFN[Direct allocation scorer] Calibration Base       calibration      24         -0.019319           -0.042424             0.291667                      0.003078                      0.004192                   -0.001114
                         Rule[12M momentum top-k]       calibration      24         -0.111111           -0.163636             0.291667                      0.000713                      0.004192                   -0.003479
               Rule[Risk-adjusted momentum top-k]       calibration      24         -0.164646           -0.254545             0.222222                     -0.002596                      0.004192                   -0.006788
                          Rule[6M momentum top-k]       calibration      24         -0.170707           -0.127273             0.180556                     -0.006730                      0.004192                   -0.010922
               Rule[Risk-adjusted momentum top-k]           holdout      75          0.022707            0.006061             0.333333                      0.014701                      0.010050                    0.004650
TabPFN[Direct allocation scorer] Calibration Base           holdout      75          0.014747            0.042424             0.333333                      0.013123                      0.010050                    0.003073
                         Rule[12M momentum top-k]           holdout      75          0.066020            0.090909             0.324444                      0.013106                      0.010050                    0.003056
                 TabPFN[Direct allocation scorer]           holdout      75          0.024095            0.048632             0.346667                      0.012079                      0.010050                    0.002028
                          Rule[6M momentum top-k]           holdout      75          0.012364            0.018182             0.333333                      0.011526                      0.010050                    0.001476
        XGBoost[GPU allocation scorer] Calibrated           holdout      75         -0.037899           -0.054545             0.328889                      0.010605                      0.010050                    0.000554
  XGBoost[GPU allocation scorer] Calibration Base           holdout      75         -0.037899           -0.054545             0.328889                      0.010605                      0.010050                    0.000554
                   XGBoost[GPU allocation scorer]           holdout      75         -0.031596           -0.078788             0.315556                      0.007604                      0.010050                   -0.002447
                       Rule[Low volatility top-k]           holdout      75         -0.062141           -0.127273             0.248889                      0.005725                      0.010050                   -0.004325
              Dummy[Preholdout prior probability]           holdout      75               NaN                 NaN                  NaN                           NaN                      0.010050                         NaN
