Strategy,Metric,Point Estimate,Bootstrap Median,CI Lower,CI Upper,Bootstrap Iterations Requested,Bootstrap Iterations Used,Confidence Level
Equal weight universe,mean_monthly_return,0.01004373247515132,0.009090933629853215,0.0016049852892421718,0.018562170472739326,50,50,0.95
Equal weight universe,cagr,0.11659946366419538,0.1049468486086852,0.009675499125571484,0.23597005430099827,50,50,0.95
Equal weight universe,annualized_volatility,0.13969673561423634,0.14436124847372606,0.11222951147310944,0.17292025455189625,50,50,0.95
Equal weight universe,sharpe,0.8627602439804849,0.7618058221694117,0.1388025766276647,1.6383524207001536,50,50,0.95
SPY only,mean_monthly_return,0.013278322388885688,0.013625426265500505,0.0019201095242579714,0.021579958374906026,50,50,0.95
SPY only,cagr,0.15336577081554736,0.15965677580977822,0.007318123440917979,0.27259187938426555,50,50,0.95
SPY only,annualized_volatility,0.17820435708210883,0.17385686845546094,0.15096487496870076,0.2005823999388049,50,50,0.95
SPY only,sharpe,0.8941412616146717,0.9097902110776381,0.12862655502906228,1.6677357068390668,50,50,0.95
60/40 SPY/TLT,mean_monthly_return,0.006459518807435594,0.006856761683631566,-0.0010041990889716333,0.012885538729092769,50,50,0.95
60/40 SPY/TLT,cagr,0.07161114635100496,0.07732554055237473,-0.022104227724265606,0.1590454415732707,50,50,0.95
60/40 SPY/TLT,annualized_volatility,0.12847140219654052,0.1256807581531832,0.10726151681973665,0.14565371987322714,50,50,0.95
60/40 SPY/TLT,sharpe,0.6033578241065889,0.6358254794518456,-0.08519486342875385,1.2735999197693937,50,50,0.95
Inverse volatility universe,mean_monthly_return,0.0070694314315604394,0.006392641816354372,0.0014766570612571946,0.013683574250289512,50,50,0.95
Inverse volatility universe,cagr,0.08154810711806681,0.07217532164737162,0.011422607250876455,0.168960863373202,50,50,0.95
Inverse volatility universe,annualized_volatility,0.11151416348128201,0.1069228078352332,0.09224259800714286,0.1286428616459568,50,50,0.95
Inverse volatility universe,sharpe,0.760739035566229,0.7148688568573798,0.15693421063340984,1.5289972048879792,50,50,0.95
12M momentum top-k portfolio,mean_monthly_return,0.01290847817460334,0.013596073558259092,0.005311966112049327,0.020408263515739655,50,50,0.95
12M momentum top-k portfolio,cagr,0.15587370606637663,0.16557118113530567,0.05519487185489618,0.26493430454135636,50,50,0.95
12M momentum top-k portfolio,annualized_volatility,0.1361970762856219,0.13373905517964146,0.1115135213802829,0.1529798774114801,50,50,0.95
12M momentum top-k portfolio,sharpe,1.1373352668040555,1.22375518208145,0.45223276883729874,1.969508909969463,50,50,0.95
Low volatility top-k portfolio,mean_monthly_return,0.0055496767029948844,0.005811173475728867,0.0014444626869103028,0.01049254203829128,50,50,0.95
Low volatility top-k portfolio,cagr,0.06416670349508236,0.06762935342737875,0.012938355355345647,0.12912187389457228,50,50,0.95
Low volatility top-k portfolio,annualized_volatility,0.09272628656116497,0.09092721388692995,0.08075182328393729,0.1056900584670174,50,50,0.95
Low volatility top-k portfolio,sharpe,0.7182010938398774,0.7687134530532498,0.1825111975701011,1.4310786018972663,50,50,0.95
Rule[6M momentum top-k],mean_monthly_return,0.011288176465053458,0.009598405738681846,0.002793409188783981,0.0207267879091504,50,50,0.95
Rule[6M momentum top-k],cagr,0.13172326526228129,0.10988108000913521,0.022989169117435003,0.26845673087260197,50,50,0.95
Rule[6M momentum top-k],annualized_volatility,0.1499007763413166,0.14432814799582544,0.12812614531774694,0.1660071009285795,50,50,0.95
Rule[6M momentum top-k],sharpe,0.9036518748389274,0.7952262696640349,0.228976472264777,1.91032083671926,50,50,0.95
Rule[6M momentum top-k] | inverse-vol capped top-k,mean_monthly_return,0.011213733655183713,0.011045542213863488,-0.0009282999540091007,0.01977103200897081,50,50,0.95
Rule[6M momentum top-k] | inverse-vol capped top-k,cagr,0.1311695481367421,0.13060746626413278,-0.021648744970618115,0.25183877665815846,50,50,0.95
Rule[6M momentum top-k] | inverse-vol capped top-k,annualized_volatility,0.1472518403643742,0.14359440384774963,0.12712314421790777,0.16490587031316833,50,50,0.95
Rule[6M momentum top-k] | inverse-vol capped top-k,sharpe,0.9138412364098429,0.9430144058104319,-0.07439853396302157,1.6208180180486214,50,50,0.95
Rule[Risk-adjusted momentum top-k],mean_monthly_return,0.014378358713494042,0.014687013466886624,0.006296374580633608,0.026672949496965557,50,50,0.95
Rule[Risk-adjusted momentum top-k],cagr,0.17543491519460153,0.18147230926237157,0.06755834788984177,0.3606915336809204,50,50,0.95
Rule[Risk-adjusted momentum top-k],annualized_volatility,0.14194289497209364,0.14259960785755407,0.11694439097553255,0.1629313708989278,50,50,0.95
Rule[Risk-adjusted momentum top-k],sharpe,1.215561403026551,1.2881591634533562,0.5292080566718078,2.1525406881411357,50,50,0.95
Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,mean_monthly_return,0.01411477272251812,0.014025521655825825,0.005322845678573651,0.020456055103978518,50,50,0.95
Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,cagr,0.17218739676645356,0.17017961260484704,0.057357770706220466,0.2627464400782102,50,50,0.95
Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,annualized_volatility,0.13932680880502946,0.1334679841619683,0.11807048120462449,0.15761594349811917,50,50,0.95
Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,sharpe,1.2156832853843644,1.2065287242879286,0.4921274737561177,1.833954577264086,50,50,0.95
TabPFN[Direct allocation scorer],mean_monthly_return,0.011769827382933647,0.00969264921397543,-0.00016966825450902262,0.020150595882951098,50,50,0.95
TabPFN[Direct allocation scorer],cagr,0.1351834372032279,0.11036672627408373,-0.019310142329565357,0.25149484203042666,50,50,0.95
TabPFN[Direct allocation scorer],annualized_volatility,0.16775160135909495,0.16816943920031321,0.14356416140275471,0.20025530280274098,50,50,0.95
TabPFN[Direct allocation scorer],sharpe,0.8419468276363269,0.7495679085495912,-0.010407908986534334,1.5424876162742645,50,50,0.95
TabPFN[Direct allocation scorer] | inverse-vol capped top-k,mean_monthly_return,0.011657793273514823,0.012435388368536266,0.002479729437854609,0.022082570243244358,50,50,0.95
TabPFN[Direct allocation scorer] | inverse-vol capped top-k,cagr,0.13418228836671453,0.14543182090289142,0.014095634362281496,0.28257470713936506,50,50,0.95
TabPFN[Direct allocation scorer] | inverse-vol capped top-k,annualized_volatility,0.16491622513170917,0.1619670191597279,0.1291894232192278,0.19440343900990906,50,50,0.95
TabPFN[Direct allocation scorer] | inverse-vol capped top-k,sharpe,0.8482702000391587,0.9258050880780614,0.16930595128773246,1.601048191095803,50,50,0.95
TabPFN[Direct allocation scorer] Calibration Base,mean_monthly_return,0.012925372679258062,0.012130046606734855,0.0005072372542179588,0.02132760656150907,50,50,0.95
