Model,Evaluation Window,bin,rows,observed_rate,mean_predicted_probability,score_min,score_max
Dummy[Preholdout prior probability],holdout,"(0.299, 0.3]",750,0.3,0.30000001192092896,0.30000001192092896,0.30000001192092896
FeatureSensitivity[full][XGBoost light],holdout,"(0.0668, 0.213]",75,0.24,0.16811460365851721,0.06778270751237869,0.21174071729183197
FeatureSensitivity[full][XGBoost light],holdout,"(0.213, 0.263]",75,0.28,0.23683353622754416,0.21288518607616425,0.262681245803833
FeatureSensitivity[full][XGBoost light],holdout,"(0.263, 0.307]",75,0.37333333333333335,0.2850586477915446,0.2630397081375122,0.3061045706272125
FeatureSensitivity[full][XGBoost light],holdout,"(0.307, 0.345]",75,0.29333333333333333,0.32837337493896485,0.306674063205719,0.34515124559402466
FeatureSensitivity[full][XGBoost light],holdout,"(0.345, 0.377]",75,0.28,0.36155126293500267,0.34559494256973267,0.3772159516811371
FeatureSensitivity[full][XGBoost light],holdout,"(0.377, 0.414]",75,0.24,0.3941315126419067,0.37741872668266296,0.41431838274002075
FeatureSensitivity[full][XGBoost light],holdout,"(0.414, 0.446]",75,0.3333333333333333,0.42857150197029115,0.41439497470855713,0.4456939399242401
FeatureSensitivity[full][XGBoost light],holdout,"(0.446, 0.493]",75,0.25333333333333335,0.46744016448656717,0.4457026422023773,0.4931013584136963
FeatureSensitivity[full][XGBoost light],holdout,"(0.493, 0.548]",75,0.30666666666666664,0.5186796649297079,0.4943467676639557,0.5478855967521667
FeatureSensitivity[full][XGBoost light],holdout,"(0.548, 0.775]",75,0.4,0.6133939433097839,0.5488143563270569,0.7753737568855286
FeatureSensitivity[full][TabPFN direct],holdout,"(0.125, 0.162]",75,0.24,0.14151776572068533,0.12608323991298676,0.16046369075775146
FeatureSensitivity[full][TabPFN direct],holdout,"(0.162, 0.245]",75,0.14666666666666667,0.18209667543570202,0.16231389343738556,0.1935562640428543
FeatureSensitivity[full][TabPFN direct],holdout,"(0.245, 0.3]",75,0.2,0.27565269390741987,0.2578125,0.2998046875
FeatureSensitivity[full][TabPFN direct],holdout,"(0.3, 0.311]",76,0.3157894736842105,0.3075246285451086,0.3001464009284973,0.31103515625
FeatureSensitivity[full][TabPFN direct],holdout,"(0.311, 0.315]",77,0.23376623376623376,0.31324696269902313,0.31118708848953247,0.31494140625
FeatureSensitivity[full][TabPFN direct],holdout,"(0.315, 0.32]",87,0.3448275862068966,0.3177604956188421,0.31509527564048767,0.3199804723262787
FeatureSensitivity[full][TabPFN direct],holdout,"(0.32, 0.323]",66,0.3939393939393939,0.3219588150580724,0.3201465308666229,0.3232421875
FeatureSensitivity[full][TabPFN direct],holdout,"(0.323, 0.327]",69,0.2898550724637681,0.3256287920302239,0.3235724866390228,0.3271484375
FeatureSensitivity[full][TabPFN direct],holdout,"(0.327, 0.332]",83,0.3855421686746988,0.3295542055583862,0.32763671875,0.33203125
FeatureSensitivity[full][TabPFN direct],holdout,"(0.332, 0.35]",67,0.4626865671641791,0.34080583124018426,0.3330078125,0.349609375
