Feature,Selection Mean,Holdout Mean,Selection Std,Holdout Std,PSI
market_lqd_avg_dollar_volume_63d,213630900.0,2311342600.0,186798128.0,743650176.0,11.979963010712844
market_ief_avg_dollar_volume_63d,110018184.0,757128770.0,76893680.0,241578768.0,11.97993854465353
market_xlk_avg_dollar_volume_63d,262509650.0,1309908900.0,146951840.0,522112992.0,11.979928605876676
market_xlv_avg_dollar_volume_63d,345367970.0,1254032900.0,263492256.0,393388704.0,11.021636753789917
market_hyg_avg_dollar_volume_63d,371628860.0,2690420000.0,347914208.0,747403392.0,10.993287435825842
market_xlk_beta_to_spy_126d,1.0105336,1.3274329,0.11565494537353516,0.16103459894657135,10.778886974185236
market_xli_avg_dollar_volume_63d,442502940.0,1150118100.0,211489552.0,298636416.0,10.67990513643097
market_tlt_avg_dollar_volume_63d,721170600.0,2666936600.0,397811840.0,883268096.0,10.521467173573807
market_shy_avg_dollar_volume_63d,103335736.0,345604580.0,44506672.0,116100776.0,10.451576549071035
market_xlu_avg_dollar_volume_63d,360654300.0,922391300.0,205241936.0,230831408.0,9.72082745784284
market_xly_avg_dollar_volume_63d,285410370.0,865822460.0,146762992.0,390334208.0,9.686582940536551
market_xlp_avg_dollar_volume_63d,277298200.0,901871800.0,192699680.0,294249120.0,9.177249993700052
market_qqq_avg_dollar_volume_63d,4108429000.0,17980963000.0,1552556416.0,7250631680.0,8.719174201054342
market_eem_beta_to_spy_126d,1.3675119,0.8111342,0.3229743242263794,0.17239761352539062,8.037736613409475
market_efa_beta_to_spy_126d,1.0885366,0.7921984,0.1673092395067215,0.10045048594474792,8.025074650179535
market_slv_avg_dollar_volume_63d,277050020.0,860810000.0,424728640.0,1382734848.0,7.955616870955655
market_vnq_avg_dollar_volume_63d,175728140.0,416995100.0,117030840.0,119507680.0,7.702405032069906
market_xlb_avg_dollar_volume_63d,302487300.0,499842240.0,116695368.0,118184672.0,6.789475439087323
market_xlb_beta_to_spy_126d,1.1632982,0.9072487,0.12680406868457794,0.1315949708223343,6.765390770695582
market_xlf_beta_to_spy_126d,1.3038604,0.9363345,0.2665570080280304,0.17625238001346588,6.307642771843965
market_yield_curve_10y_2y,1.508764,0.23866667,0.8229161500930786,0.6253480911254883,5.850109993730099
market_spy_avg_dollar_volume_63d,22116481000.0,34959466000.0,6939639808.0,9097815040.0,5.786689752134952
market_lqd_beta_to_spy_126d,-0.020368814,0.15535015,0.09213780611753464,0.10345637798309326,5.4842886640735955
market_xli_beta_to_spy_126d,1.0672971,0.9194167,0.1064067929983139,0.09910058230161667,5.4717829846344905
market_xlf_avg_dollar_volume_63d,1325756400.0,1836812900.0,844721024.0,428610720.0,5.4505382634917785
market_xlk_rv_126d,0.1795301,0.25573274,0.08820594102144241,0.09202644228935242,5.2775349642962395
market_xly_downside_rv_126d,0.11271573,0.14639078,0.06360867619514465,0.061930857598781586,5.066619033033596
market_shy_return_252d,0.019459937,0.018673507,0.022362200543284416,0.031292833387851715,4.547052414766321
market_dia_beta_to_spy_126d,0.8998913,0.8371779,0.0417056679725647,0.10711674392223358,4.524961054590087
market_xlv_beta_to_spy_126d,0.8025489,0.6086453,0.16550703346729279,0.13670064508914948,4.43935509682768
market_ief_beta_to_spy_126d,-0.16827217,-0.0035402915,0.0859406515955925,0.11237946152687073,4.383165504050869
market_shy_beta_to_spy_126d,-0.02323552,0.0016130018,0.021848782896995544,0.02558065950870514,4.240540909561385
market_xlk_downside_rv_126d,0.10920031,0.15543604,0.053493890911340714,0.06373390555381775,4.148883843550944
market_tlt_beta_to_spy_126d,-0.36874685,-0.019670572,0.20055584609508514,0.2429371178150177,4.146143086213411
market_fed_funds_rate_change_21d,-0.024160163,0.023866666,0.17649045586585999,0.28052741289138794,4.145020309296838
market_eem_downside_rv_126d,0.16315386,0.12419841,0.0947078987956047,0.060069967061281204,4.057202769085249
market_xly_rv_126d,0.18639441,0.23624353,0.10199306905269623,0.08550349622964859,4.043109996028444
market_iwm_rv_126d,0.21965387,0.24692373,0.10694890469312668,0.08462578058242798,4.022180641563368
market_xlk_hl_spread_proxy_21d,0.014018239,0.017989546,0.008372530341148376,0.007406450342386961,3.9271648264762464
market_gld_avg_dollar_volume_63d,1244482200.0,2065433900.0,695518848.0,1517269760.0,3.82247267662057
market_treasury_10y_yield,2.9126256,3.0041332,1.0128300189971924,1.4079735279083252,3.547270849727645
market_iwm_avg_dollar_volume_63d,4315183000.0,6110719000.0,1327294592.0,1735324416.0,3.3980991043110675
market_xle_beta_to_spy_126d,1.170696,0.8168997,0.15944229066371918,0.370109885931015,3.361076237999907
market_lqd_rv_126d,0.06678663,0.091223694,0.04796583205461502,0.04581821337342262,3.2616197642004825
market_dia_avg_dollar_volume_63d,1150875000.0,1472259200.0,597263936.0,564985536.0,3.1734304100736526
market_xlk_rv_63d,0.17590666,0.24919567,0.0945364311337471,0.11192811280488968,3.160711780043916
market_xly_rv_63d,0.18189037,0.23086035,0.10869468003511429,0.10187308490276337,3.1223798013883557
market_xly_beta_to_spy_126d,1.0225376,1.1691661,0.07429847866296768,0.13536052405834198,3.043079819603746
market_xly_downside_rv_63d,0.10792734,0.14072664,0.06762250512838364,0.07084816694259644,3.0359002862013034
market_shy_return_126d,0.010106088,0.0092787845,0.013228688389062881,0.01777176931500435,2.975362377430632
market_treasury_2y_yield,1.4038614,2.7654667,1.4884610176086426,1.8372422456741333,2.932821398644988
market_fed_funds_rate,1.1415514,2.7988002,1.807626724243164,2.1793570518493652,2.924556755101013
market_xlp_hl_spread_proxy_21d,0.01046843,0.0117584895,0.006248184014111757,0.005442820489406586,2.868436411324471
market_efa_rv_126d,0.20624962,0.17695034,0.11245362460613251,0.07462058216333389,2.838452029913568
market_qqq_beta_to_spy_126d,1.066266,1.2216578,0.13411718606948853,0.11733715236186981,2.8238954832564467
market_xlu_rv_63d,0.15740177,0.19081967,0.08147448301315308,0.10606677085161209,2.792418816202632
market_eem_avg_dollar_volume_63d,2255434500.0,1728534900.0,684980480.0,574199744.0,2.7889010111260135
market_xly_rv_21d,0.17636918,0.22588365,0.11505166441202164,0.11702372878789902,2.75999005737507
market_xlu_hl_spread_proxy_21d,0.014302582,0.016058998,0.007892688736319542,0.006896663457155228,2.755885501896267
market_dbc_beta_to_spy_126d,0.42932653,0.30555743,0.23314499855041504,0.18700307607650757,2.684455584843654
market_vnq_rv_63d,0.24799058,0.20942217,0.2162809669971466,0.1184740886092186,2.6601710558883496
market_vnq_downside_rv_126d,0.15131485,0.135154,0.12397876381874084,0.08192373067140579,2.569702607749825
market_xlp_rv_126d,0.12437975,0.14578213,0.049228519201278687,0.06863594800233841,2.5615720717538752
market_iyr_downside_rv_126d,0.14670591,0.13333581,0.12331854552030563,0.07912503182888031,2.547532453481992
market_dia_downside_rv_126d,0.09295582,0.10569271,0.05452999845147133,0.07007484138011932,2.5306236119155336
market_vnq_beta_to_spy_126d,1.0201312,0.8034646,0.39518675208091736,0.23658990859985352,2.5024963341195408
market_xle_downside_rv_63d,0.15081374,0.18199183,0.09395762532949448,0.1170625388622284,2.4835729195568566
