Model,Base Model,Family,Calibration,Evaluation Window,Rows,Positive Rows,Positive Rate,Score Type,Average Precision,ROC AUC,Brier Score,Log Loss,ECE Quantile 10,Fit Seconds,Predict Seconds,Calibration Seconds,Workflow Seconds,CV/Validation Average Precision,Best Params,Timing Notes
FeatureSensitivity[full][TabPFN direct],TabPFN,feature_policy_sensitivity,full,holdout,1875,375,0.2,probability,0.30207607364034067,0.6346435555555556,0.15505892525324919,0.4870365734340665,0.02804607094724973,10.203116443999988,64.62936571900002,0.0,74.83248216300001,,,direct TabPFN feature-policy sensitivity rerun
FeatureSensitivity[identity_ablated][TabPFN direct],TabPFN,feature_policy_sensitivity,identity_ablated,holdout,1875,375,0.2,probability,0.29788754185586763,0.6351715555555556,0.15530420008879567,0.48753065606480217,0.032281910826762523,10.466518644000075,68.13679783400005,0.0,78.60331647800012,,,direct TabPFN feature-policy sensitivity rerun
FeatureSensitivity[strict_time_series][TabPFN direct],TabPFN,feature_policy_sensitivity,strict_time_series,holdout,1875,375,0.2,probability,0.29788754185586763,0.6351715555555556,0.15530420008879567,0.48753065606480217,0.032281910826762523,10.18714354199983,68.05487357399988,0.0,78.24201711599972,,,direct TabPFN feature-policy sensitivity rerun
FeatureSensitivity[ticker_ablated][TabPFN direct],TabPFN,feature_policy_sensitivity,ticker_ablated,holdout,1875,375,0.2,probability,0.2938228724171489,0.6303804444444445,0.1555102797585372,0.4885289851647518,0.03300717872381211,9.866778818000057,68.33828807300006,0.0,78.20506689100011,,,direct TabPFN feature-policy sensitivity rerun
FeatureSensitivity[metadata_only][TabPFN direct],TabPFN,feature_policy_sensitivity,metadata_only,holdout,1875,375,0.2,probability,0.29048248534606536,0.6255333333333334,0.15440048306471876,0.48490945213509973,0.044304641085863114,1.0490680820000762,4.988868222000065,0.0,6.037936304000141,,,direct TabPFN feature-policy sensitivity rerun
FeatureSensitivity[metadata_only][XGBoost light],XGBoost,feature_policy_sensitivity,metadata_only,holdout,1875,375,0.2,probability,0.28150603667590357,0.6204000000000001,0.23974457677625474,0.6694629507686506,0.28077124923467633,0.38448742400009905,0.02189499600012823,0.0,0.4063824200002273,,,fixed GPU XGBoost feature-policy sensitivity rerun; no target-specific hyperparameter search
FeatureSensitivity[ticker_ablated][XGBoost light],XGBoost,feature_policy_sensitivity,ticker_ablated,holdout,1875,375,0.2,probability,0.2608014567525866,0.5843324444444444,0.20808203514259904,0.60541667836286,0.2109044614414374,1.3494019360000493,0.02907201300001816,0.0,1.3784739490000675,,,fixed GPU XGBoost feature-policy sensitivity rerun; no target-specific hyperparameter search
FeatureSensitivity[identity_ablated][XGBoost light],XGBoost,feature_policy_sensitivity,identity_ablated,holdout,1875,375,0.2,probability,0.2566712288434516,0.5787306666666666,0.2077365493103748,0.6040631724313622,0.20578169179062047,1.3173198319999528,0.03003548500009856,0.0,1.3473553170000514,,,fixed GPU XGBoost feature-policy sensitivity rerun; no target-specific hyperparameter search
FeatureSensitivity[strict_time_series][XGBoost light],XGBoost,feature_policy_sensitivity,strict_time_series,holdout,1875,375,0.2,probability,0.2566712288434516,0.5787306666666666,0.2077365493103748,0.6040631724313622,0.20578169179062047,1.2930036029999883,0.03106875100002071,0.0,1.324072354000009,,,fixed GPU XGBoost feature-policy sensitivity rerun; no target-specific hyperparameter search
FeatureSensitivity[full][XGBoost light],XGBoost,feature_policy_sensitivity,full,holdout,1875,375,0.2,probability,0.24956974974006194,0.5773155555555555,0.2063021642528362,0.60119566824566,0.20320919243792696,4.031902456000012,0.1819027849999202,0.0,4.213805240999932,,,fixed GPU XGBoost feature-policy sensitivity rerun; no target-specific hyperparameter search
