Model,Evaluation Window,months,mean_spearman_ic,median_spearman_ic,mean_top_k_hit_rate,mean_selected_forward_return,mean_universe_forward_return,mean_active_forward_return
XGBoost[GPU allocation scorer] Calibrated,calibration,24,0.10009615384615385,0.12,0.2916666666666667,0.013528730194898808,0.005788316161674249,0.007740414033224559
XGBoost[GPU allocation scorer] Calibration Base,calibration,24,0.10009615384615385,0.12,0.2916666666666667,0.013528730194898808,0.005788316161674249,0.007740414033224559
TabPFN[Direct allocation scorer] Calibration Base,calibration,24,0.07622039025066195,0.04019589600553773,0.3,0.010043074260973601,0.005788316161674249,0.004254758099299353
Rule[Low volatility top-k],calibration,24,-0.09016025641025639,-0.20346153846153844,0.125,0.004705291099864786,0.005788316161674249,-0.001083025061809462
Rule[12M momentum top-k],calibration,24,-0.05958333333333334,0.013846153846153841,0.18333333333333335,0.00022142333899451366,0.005788316161674249,-0.005566892822679735
Rule[Risk-adjusted momentum top-k],calibration,24,-0.1444230769230769,-0.09115384615384617,0.16666666666666666,-0.0038998941249092575,0.005788316161674249,-0.009688210286583506
Rule[6M momentum top-k],calibration,24,-0.14076923076923079,-0.13884615384615384,0.18333333333333335,-0.004110248219259793,0.005788316161674249,-0.009898564380934042
TabPFN[Direct allocation scorer] Calibration Base,holdout,75,0.04191943720085287,0.05615384615384616,0.31733333333333336,0.014787764426905466,0.009689743341881054,0.005098021085024412
FeatureSensitivity[identity_ablated][TabPFN direct],holdout,75,0.039966097730112955,0.07153846153846154,0.28800000000000003,0.014344346378519314,0.009689743341881054,0.00465460303663826
FeatureSensitivity[strict_time_series][TabPFN direct],holdout,75,0.039966097730112955,0.07153846153846154,0.28800000000000003,0.014344346378519314,0.009689743341881054,0.00465460303663826
TabPFN[Direct allocation scorer],holdout,75,0.039966097730112955,0.07153846153846154,0.28800000000000003,0.014344346378519314,0.009689743341881054,0.00465460303663826
Rule[12M momentum top-k],holdout,75,0.04644102564102564,0.03615384615384615,0.26133333333333336,0.013992586624013042,0.009689743341881054,0.004302843282131986
FeatureSensitivity[full][TabPFN direct],holdout,75,0.036951508374438176,0.04076923076923076,0.29333333333333333,0.013927740915481601,0.009689743341881054,0.0042379975736005476
FeatureSensitivity[ticker_ablated][XGBoost light],holdout,75,0.014482051282051281,0.04538461538461538,0.2773333333333333,0.013600923287288026,0.009689743341881054,0.003911179945406971
FeatureSensitivity[ticker_ablated][TabPFN direct],holdout,75,0.0354357306641879,0.06,0.296,0.013476972835894111,0.009689743341881054,0.0037872294940130558
Rule[Risk-adjusted momentum top-k],holdout,75,0.001117948717948721,-0.003076923076923077,0.27466666666666667,0.012874599524563504,0.009689743341881054,0.0031848561826824497
FeatureSensitivity[full][XGBoost light],holdout,75,0.015210256410256416,0.03461538461538462,0.264,0.012060441143565307,0.009689743341881054,0.0023706978016842517
FeatureSensitivity[metadata_only][TabPFN direct],holdout,75,0.03812528120791131,0.06308905675464942,0.2693333333333333,0.011918135504055474,0.009689743341881054,0.00222839216217442
FeatureSensitivity[metadata_only][XGBoost light],holdout,75,0.03368205128205128,0.04384615384615385,0.264,0.011534042445301491,0.009689743341881054,0.0018442991034204378
FeatureSensitivity[identity_ablated][XGBoost light],holdout,75,0.02204102564102564,0.06999999999999999,0.2586666666666667,0.01136511280716511,0.009689743341881054,0.001675369465284055
FeatureSensitivity[strict_time_series][XGBoost light],holdout,75,0.02204102564102564,0.06999999999999999,0.2586666666666667,0.01136511280716511,0.009689743341881054,0.001675369465284055
XGBoost[GPU allocation scorer],holdout,75,0.02948717948717949,0.05538461538461539,0.264,0.010703472896154653,0.009689743341881054,0.0010137295542735985
Rule[6M momentum top-k],holdout,75,0.010994871794871793,0.013846153846153848,0.25333333333333335,0.009207816298470044,0.009689743341881054,-0.0004819270434110094
XGBoost[GPU allocation scorer] Calibrated,holdout,75,-0.0030769230769230748,-0.016923076923076923,0.24533333333333338,0.008596571574212456,0.009689743341881054,-0.0010931717676685975
XGBoost[GPU allocation scorer] Calibration Base,holdout,75,-0.0030769230769230748,-0.016923076923076923,0.24533333333333338,0.008596571574212456,0.009689743341881054,-0.0010931717676685975
Rule[Low volatility top-k],holdout,75,-0.0816923076923077,-0.09692307692307693,0.14133333333333334,0.002501194911481742,0.009689743341881054,-0.007188548430399312
Dummy[Preholdout prior probability],holdout,75,,,,,0.009689743341881054,
