Strategy,Objective,Model,month,Horizon Months,Return Column,Target Column,Selected Horizon Return,Universe Horizon Return,Active Horizon Return,Selected Target Rate,Monthly Turnover,Average Holdings,Diagnostic Type,Portfolio Diagnostic Caveat
benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],2020-01,1,forward_1m_vs_benchmark_return,target_outperform_benchmark_next_1m,-0.0025184546507359693,0.023700074797218234,-0.026218529447954202,0.2,1.0,5.0,one_month_score_to_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer
benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],2020-02,1,forward_1m_vs_benchmark_return,target_outperform_benchmark_next_1m,-0.04295446986818994,0.018694857975791197,-0.06164932784398114,0.2,0.8,5.0,one_month_score_to_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer
benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],2020-03,1,forward_1m_vs_benchmark_return,target_outperform_benchmark_next_1m,-0.04426301005675144,-0.04525454052321993,0.0009915304664684862,0.2,1.6,5.0,one_month_score_to_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer
benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],2020-04,1,forward_1m_vs_benchmark_return,target_outperform_benchmark_next_1m,0.0006731654787886406,-0.00605246277948154,0.00672562825827018,0.6000000000000001,2.0,5.0,one_month_score_to_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer
benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],2020-05,1,forward_1m_vs_benchmark_return,target_outperform_benchmark_next_1m,-0.009570242506591064,-0.004090842967323325,-0.005479399539267739,0.6000000000000001,2.0,5.0,one_month_score_to_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer
benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],2020-06,1,forward_1m_vs_benchmark_return,target_outperform_benchmark_next_1m,-0.016016134069267187,-0.0027943387905171903,-0.013221795278749997,0.2,0.8,5.0,one_month_score_to_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer
benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],2020-07,1,forward_1m_vs_benchmark_return,target_outperform_benchmark_next_1m,-0.03179917027556214,-0.030142799594144787,-0.0016563706814173504,0.4,1.2,5.0,one_month_score_to_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer
benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],2020-08,1,forward_1m_vs_benchmark_return,target_outperform_benchmark_next_1m,-0.007392771938564559,0.0047198256012521925,-0.012112597539816751,0.8,1.2,5.0,one_month_score_to_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer
benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],2020-09,1,forward_1m_vs_benchmark_return,target_outperform_benchmark_next_1m,-0.007303379904576701,0.011814688129911466,-0.019118068034488168,0.2,1.5999999999999999,5.0,one_month_score_to_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer
benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m,ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],2020-10,1,forward_1m_vs_benchmark_return,target_outperform_benchmark_next_1m,0.042799012753004996,-0.020578392035008095,0.0633774047880131,0.6000000000000001,0.8,5.0,one_month_score_to_return,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer
