Model,Base Model,Family,Calibration,Evaluation Window,Rows,Positive Rows,Positive Rate,Score Type,Average Precision,ROC AUC,Brier Score,Log Loss,ECE Quantile 10,Fit Seconds,Predict Seconds,Calibration Seconds,Workflow Seconds,CV/Validation Average Precision,Best Params,Timing Notes,Objective,Target Column,Return Column,Portfolio Return Column,Horizon Months,Portfolio Diagnostic Caveat,Training Label Resolution Cutoff
ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct] Calibration Base,TabPFN,objective_specific_calibration_base,none_calibration_base,calibration,575,232,0.40347826086956523,probability,0.4946813440249954,0.6038001407459535,0.23348705933349265,0.6524549614899874,0.05233997748435841,9.13831248800011,49.35691078500008,0.0,58.49522327300019,,,objective-specific direct TabPFN context excludes calibration-window labels,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched] Calibration Base,XGBoost,objective_specific_searched_calibration_base,none_calibration_base,calibration,575,232,0.40347826086956523,probability,0.4755265543021744,0.6062506283301498,0.2492220615936948,0.6964934229443713,0.11997708303205995,125.44545743000003,0.03221908149998853,0.0,125.47767651150002,0.5408249118340112,"{""colsample_bylevel"": 0.662172510502637, ""colsample_bytree"": 0.5171483750853704, ""gamma"": 0.0017580991546710062, ""learning_rate"": 0.13523639205509957, ""max_bin"": 512, ""max_delta_step"": 0, ""max_depth"": 4, ""min_child_weight"": 1.168085424045463, ""n_estimators"": 1372, ""reg_alpha"": 10.595320121534543, ""reg_lambda"": 0.05286197745891297, ""scale_pos_weight"": 1.2178217821782178, ""subsample"": 0.7378349514169507}",searched objective-specific base model excludes calibration-window labels,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched] Calibrated,XGBoost,objective_specific_searched_calibrated,sigmoid,calibration,575,232,0.40347826086956523,probability,0.4755265543021744,0.6062506283301498,0.23310866156841514,0.6575463500570747,0.05759016636816704,125.44545743000003,0.008677953499955038,0.012403664999965258,125.46653904849995,0.5408249118340112,"{""colsample_bylevel"": 0.662172510502637, ""colsample_bytree"": 0.5171483750853704, ""gamma"": 0.0017580991546710062, ""learning_rate"": 0.13523639205509957, ""max_bin"": 512, ""max_delta_step"": 0, ""max_depth"": 4, ""min_child_weight"": 1.168085424045463, ""n_estimators"": 1372, ""reg_alpha"": 10.595320121534543, ""reg_lambda"": 0.05286197745891297, ""scale_pos_weight"": 1.2178217821782178, ""subsample"": 0.7378349514169507}",sigmoid calibration fitted on objective-specific calibration window after target-specific search,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibration Base,XGBoost,objective_specific_calibration_base,none_calibration_base,calibration,575,232,0.40347826086956523,probability,0.4690912395888458,0.601475319191716,0.23579014630198838,0.6581198068036875,0.07157302759587764,1.1848840550001114,0.017514936999987185,0.0,1.2023989920000986,0.47777573752348906,,objective-specific base model excludes calibration-window labels,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibrated,XGBoost,objective_specific_calibrated,sigmoid,calibration,575,232,0.40347826086956523,probability,0.4690912395888458,0.601475319191716,0.2310737676193661,0.6514006321183202,0.05156253635427328,1.1848840550001114,0.00500245950001954,0.008516587000030995,1.198403101500162,0.47777573752348906,,sigmoid calibration fitted on objective-specific calibration window,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct],TabPFN,objective_specific,none,holdout,1875,792,0.4224,probability,0.46597618959713016,0.5688521876195005,0.23781394232823325,0.6613452684863067,0.0459847890837118,9.905282700000043,66.7944218959999,0.0,76.69970459599995,,,objective-specific direct TabPFN rerun with training labels restricted to those resolved before holdout; separate from main one-month target,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],XGBoost,objective_specific,none,holdout,1875,792,0.4224,probability,0.46429162183440276,0.537243394237854,0.24770125455880346,0.6838932855732347,0.08435021916925908,1.292468344999861,0.028915976000007504,0.0,1.3213843209998686,0.47777573752348906,,objective-specific fixed GPU XGBoost; training labels restricted to those resolved before holdout; chronological fixed-model CV AP saved; no target-specific hyperparameter search,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct] Calibration Base,TabPFN,objective_specific_calibration_base,none_calibration_base,holdout,1875,792,0.4224,probability,0.4551133335235983,0.5594547739630843,0.2388450894116084,0.6634344105832997,0.0452961932843551,9.13831248800011,49.35691078500008,0.0,58.49522327300019,,,objective-specific direct TabPFN context excludes calibration-window labels,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched] Calibration Base,XGBoost,objective_specific_searched_calibration_base,none_calibration_base,holdout,1875,792,0.4224,probability,0.44544202907944386,0.5281741701409292,0.28566081492625867,0.7887692858130719,0.18226483542472124,125.44545743000003,0.03221908149998853,0.0,125.47767651150002,0.5408249118340112,"{""colsample_bylevel"": 0.662172510502637, ""colsample_bytree"": 0.5171483750853704, ""gamma"": 0.0017580991546710062, ""learning_rate"": 0.13523639205509957, ""max_bin"": 512, ""max_delta_step"": 0, ""max_depth"": 4, ""min_child_weight"": 1.168085424045463, ""n_estimators"": 1372, ""reg_alpha"": 10.595320121534543, ""reg_lambda"": 0.05286197745891297, ""scale_pos_weight"": 1.2178217821782178, ""subsample"": 0.7378349514169507}",searched objective-specific base model excludes calibration-window labels,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched] Calibrated,XGBoost,objective_specific_searched_calibrated,sigmoid,holdout,1875,792,0.4224,probability,0.44544202907944386,0.5281741701409292,0.24766985644269368,0.6881987730166059,0.08242824202410251,125.44545743000003,0.008677953499955038,0.012403664999965258,125.46653904849995,0.5408249118340112,"{""colsample_bylevel"": 0.662172510502637, ""colsample_bytree"": 0.5171483750853704, ""gamma"": 0.0017580991546710062, ""learning_rate"": 0.13523639205509957, ""max_bin"": 512, ""max_delta_step"": 0, ""max_depth"": 4, ""min_child_weight"": 1.168085424045463, ""n_estimators"": 1372, ""reg_alpha"": 10.595320121534543, ""reg_lambda"": 0.05286197745891297, ""scale_pos_weight"": 1.2178217821782178, ""subsample"": 0.7378349514169507}",sigmoid calibration fitted on objective-specific calibration window after target-specific search,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibration Base,XGBoost,objective_specific_calibration_base,none_calibration_base,holdout,1875,792,0.4224,probability,0.43945788739936864,0.5161541546583097,0.25859220806630073,0.7078144778096641,0.11644495676159859,1.1848840550001114,0.017514936999987185,0.0,1.2023989920000986,0.47777573752348906,,objective-specific base model excludes calibration-window labels,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibrated,XGBoost,objective_specific_calibrated,sigmoid,holdout,1875,792,0.4224,probability,0.43945788739936864,0.5161541546583097,0.24945520309230468,0.6915850969873539,0.08646809509225231,1.1848840550001114,0.00500245950001954,0.008516587000030995,1.198403101500162,0.47777573752348906,,sigmoid calibration fitted on objective-specific calibration window,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
