Strategy,Max Drawdown,Average Drawdown,Ulcer Index,Longest Drawdown Months,Final Equity
Low volatility top-k portfolio,-0.11138413993117502,-0.025572756715584632,0.040210636778601,26,1.1843235374121324
12M momentum top-k portfolio,-0.1283570425304983,-0.0262021410528317,0.04181852138746509,14,2.6079518447614274
Rule[6M momentum top-k],-0.13249629475599145,-0.03840348614499231,0.05432243825857867,25,1.8138443450167812
Inverse volatility universe,-0.14282745889254456,-0.026971056341480483,0.04475560909081873,25,1.478194102602671
TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,-0.1493449882187443,-0.02173147805943031,0.040665015384902796,7,2.502133209812585
Rule[Risk-adjusted momentum top-k],-0.15672428018845075,-0.03210404638419926,0.04838398148916508,13,2.3592863577005505
Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,-0.16238534682301942,-0.038064131831071775,0.05697374980797618,26,2.1341552203067433
Equal weight universe,-0.1675214361550228,-0.029215001114164755,0.050277215250549276,23,1.9441348837155277
Rule[6M momentum top-k] | inverse-vol capped top-k,-0.1675646388452965,-0.049277093749307894,0.06915745893750894,31,1.5838660302212824
TabPFN[Direct allocation scorer] Calibration Base,-0.17445156897122138,-0.022730207171072426,0.043856344836282035,7,2.710528100097968
TabPFN[Direct allocation scorer] | inverse-vol capped top-k,-0.20420655303460322,-0.030733424114790034,0.054397134296945863,14,2.602940490061169
TabPFN[Direct allocation scorer],-0.21124395830698217,-0.029683284221390303,0.05438782875016777,12,2.5584107092827626
XGBoost[GPU allocation scorer] | inverse-vol capped top-k,-0.2242229643553475,-0.03336616247265741,0.05876677737240756,14,1.7908127943722383
XGBoost[GPU allocation scorer],-0.23175030964119792,-0.031557201185351165,0.057711067656678355,9,1.924073732790532
SPY only,-0.23312890167018896,-0.04311749964437605,0.07451090235247446,23,2.439462073408081
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,-0.2375171942029971,-0.052984637790453315,0.0774387781646657,36,1.4413598039183222
XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k,-0.2375171942029971,-0.052984637790453315,0.0774387781646657,36,1.4413598039183222
XGBoost[GPU allocation scorer] Calibrated,-0.24134235848456442,-0.04626066692099821,0.07235600416183174,25,1.6520137162406905
XGBoost[GPU allocation scorer] Calibration Base,-0.24134235848456442,-0.04626066692099821,0.07235600416183174,25,1.6520137162406905
60/40 SPY/TLT,-0.24936995223827219,-0.06535795156557027,0.10096248763458898,31,1.5407509462630669
