Strategy,month,Lookback Months Used,Configured Lookback Months,Weight Coverage,Ex-Ante Monthly Volatility,Ex-Ante Annualized Volatility,Ex-Ante 95pct Monthly VaR Proxy,Ex-Ante Beta To Benchmark,Realized Gross Return,Realized Net Return
Equal weight universe,2020-01,36,36,1.0,0.026249790346679708,0.09093194113696061,0.04318090512028812,0.6289545436738551,-0.05404847668395909,-0.05454847668395909
Equal weight universe,2020-02,36,36,1.0,0.027936986101375183,0.09677655867585477,0.045956342136762175,0.6371315444906249,-0.14485397448749124,-0.14485397448749124
Equal weight universe,2020-03,36,36,1.0,0.0375515128363323,0.13008225626720482,0.06177223861576663,0.7123783026732311,0.10528200713632334,0.10528200713632334
Equal weight universe,2020-04,36,36,1.0,0.04132537632061064,0.14315530285840283,0.0679802440474045,0.711591492868106,0.058123295956415334,0.05812329595641532
Equal weight universe,2020-05,36,36,1.0,0.0422808560052942,0.14646518157734648,0.06955200812870896,0.7181609853891002,0.019992743992486177,0.019992743992486177
Equal weight universe,2020-06,36,36,1.0,0.042345062732223486,0.14668760020380492,0.06965762819450763,0.7186038787005209,0.057773994723097716,0.05777399472309771
Equal weight universe,2020-07,36,36,1.0,0.043161880712681754,0.14951714068918395,0.07100129377236149,0.7245412839220932,0.03652971165383368,0.03652971165383368
Equal weight universe,2020-08,36,36,1.0,0.04343417237051741,0.150460386660881,0.07144921354950114,0.7202060554267286,-0.027170321598357174,-0.027170321598357184
Equal weight universe,2020-09,36,36,1.0,0.04383268866197404,0.1518408875897746,0.0721047728489473,0.7216266110058495,-0.010365351788556043,-0.010365351788556042
Equal weight universe,2020-10,36,36,1.0,0.04388226298540523,0.15201261808364194,0.0721863226109916,0.7197114111136407,0.08653840030647521,0.08653840030647522
Equal weight universe,2020-11,36,36,1.0,0.04585988400560919,0.15886329825386086,0.07543950918922712,0.7274979611331203,0.03422774515700446,0.034227745157004455
Equal weight universe,2020-12,36,36,1.0,0.04604835965636558,0.1595161970600602,0.07574955163472137,0.7290669768460212,0.0018480073568368294,0.001848007356836829
Equal weight universe,2021-01,36,36,1.0,0.04601269229870645,0.15939264170878553,0.07569087883137211,0.7325341468182638,0.018249986948568435,0.018249986948568435
Equal weight universe,2021-02,36,36,1.0,0.04537037917406049,0.15716760377627528,0.07463427374132951,0.727421863310235,0.020199397593665406,0.020199397593665406
Equal weight universe,2021-03,36,36,1.0,0.04533190786332361,0.1570343352466152,0.07457098843516734,0.7317572291965775,0.03918018080489045,0.03918018080489045
Equal weight universe,2021-04,36,36,1.0,0.04555429514235315,0.1578047073790875,0.07493681550917093,0.7319247349257504,0.019048149908593888,0.019048149908593884
Equal weight universe,2021-05,36,36,1.0,0.04555056569427668,0.15779178819198222,0.07493068056708514,0.7315080926687133,0.0034348765011974845,0.0034348765011974836
Equal weight universe,2021-06,36,36,1.0,0.045477265710156,0.15753786959860022,0.07481010209320663,0.7311360979431086,0.009919196538945348,0.009919196538945348
Equal weight universe,2021-07,36,36,1.0,0.04544900683968319,0.1574399779997534,0.07476361625127885,0.7328537489386869,0.010399606534442149,0.01039960653444215
Equal weight universe,2021-08,36,36,1.0,0.045447056401072564,0.1574332214822121,0.07476040777976437,0.7332770028524377,-0.029154398908353755,-0.02915439890835376
