Strategy,Risk Observation Months,Average Ex-Ante Annualized Volatility,Median Ex-Ante Annualized Volatility,Max Ex-Ante Annualized Volatility,Average Ex-Ante Monthly VaR Proxy,Average Ex-Ante Beta To Benchmark,Average Weight Coverage,Realized Net Annualized Volatility,Realized/Predicted Vol Ratio,Risk Model Caveat
Low volatility top-k portfolio,75,0.06432228826488182,0.06492987311178787,0.08406890603851251,0.030544763390701786,0.25045947530454554,1.0,0.062775359689384,0.9759503491367175,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
Inverse volatility universe,75,0.09435394588405442,0.09973547375440363,0.12300624806541098,0.04480591455545317,0.4945405002720663,1.0,0.0917138533581421,0.9720192674384115,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
60/40 SPY/TLT,75,0.12401029478128735,0.12461199770270384,0.1482499637230893,0.05888884264357975,0.6433761828723957,1.0,0.12847146243775193,1.0359741718567204,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
Equal weight universe,75,0.1375866943302243,0.1320033517332001,0.17130176696546665,0.06533587559446308,0.7243526102743932,1.0,0.13666088166651186,0.9932710596164889,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,75,0.1477798577578973,0.14477411676453683,0.24708852091754444,0.07017630919065111,0.6442830691436779,1.0,0.14743412802688724,0.9976605084329121,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,75,0.15262131131655907,0.14789883568944448,0.23588758723761682,0.07247537312953674,0.7080346394132497,1.0,0.16615713104254132,1.088688922989968,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k,75,0.15262131131655907,0.14789883568944448,0.23588758723761682,0.07247537312953674,0.7080346394132497,1.0,0.16615713104254132,1.088688922989968,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
XGBoost[GPU allocation scorer] | inverse-vol capped top-k,75,0.15689582461204937,0.15385159814909502,0.24411582448510288,0.07450521380752216,0.759199090545733,1.0,0.16923507039509883,1.0786461068263624,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
TabPFN[Direct allocation scorer] Calibration Base,75,0.16266012785763234,0.1601576603894489,0.25211172245794944,0.07724251192763142,0.709876669180939,1.0,0.16051946631378533,0.9868396664133904,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
XGBoost[GPU allocation scorer] Calibrated,75,0.16286054770438,0.15906911957525954,0.24772521880921552,0.07733768541978857,0.7521041439311733,1.0,0.1789529412192774,1.0988108768006104,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
XGBoost[GPU allocation scorer] Calibration Base,75,0.16286054770438,0.15906911957525954,0.24772521880921552,0.07733768541978857,0.7521041439311733,1.0,0.1789529412192774,1.0988108768006104,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,75,0.16519920782022116,0.1686475601661449,0.2651390610804258,0.07844824634379471,0.7785623649153235,1.0,0.14031636504570125,0.8493767427650211,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
XGBoost[GPU allocation scorer],75,0.166077845400632,0.16340711105119485,0.249216650554239,0.07886548549563135,0.7938324250228456,1.0,0.1785258256085745,1.0749526836521395,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
Rule[6M momentum top-k] | inverse-vol capped top-k,75,0.1661189136623552,0.17288774022459344,0.26703683348436463,0.07888498760556932,0.7926633729244313,1.0,0.13439946279478313,0.8090557530851459,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
12M momentum top-k portfolio,75,0.17615426209971013,0.18087144681043552,0.27742902505585,0.08365047950318281,0.8243411820278214,1.0,0.14850812751949474,0.843057248512292,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
Rule[6M momentum top-k],75,0.17642578189963043,0.1808482622292703,0.2779959428157608,0.08377941627250769,0.8231158557154438,1.0,0.14995622098266476,0.8499677278912424,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
Rule[Risk-adjusted momentum top-k],75,0.1765786617490051,0.17962534764855861,0.27726820803285274,0.08385201441775904,0.811736701858639,1.0,0.15400554289940993,0.8721639487692948,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
SPY only,75,0.18144575025329204,0.17569917272506166,0.22369468491707745,0.08616325163856255,1.0,1.0,0.17820439388279558,0.9821359477090444,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
TabPFN[Direct allocation scorer] | inverse-vol capped top-k,75,0.1818745819195727,0.17360088925627393,0.2611374081921604,0.08636689118768812,0.8787585470840651,1.0,0.18311875033930755,1.006840804287237,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
TabPFN[Direct allocation scorer],75,0.1876383831776735,0.17888293223919435,0.25990881995898013,0.08910395092870232,0.891134278767016,1.0,0.18469250451861471,0.9843002342635336,trailing covariance proxy using downloaded monthly returns; not a production ex-ante risk model
