Model,Metric,Point Estimate,Bootstrap Median,CI Lower,CI Upper,Bootstrap Iterations Requested,Bootstrap Iterations Used,Confidence Level
Dummy[Preholdout prior probability],average_precision,0.2,0.2,0.2,0.2,400,400,0.95
Dummy[Preholdout prior probability],mean_spearman_ic,,,,,400,0,0.95
Dummy[Preholdout prior probability],top_k_hit_rate,,,,,400,0,0.95
Rule[12M momentum top-k],average_precision,0.2438064939418784,0.2477685937334838,0.2168909185512212,0.2863115380355005,400,400,0.95
Rule[12M momentum top-k],mean_spearman_ic,0.046441025641025646,0.043584615384615374,-0.01820307692307691,0.11458102564102558,400,400,0.95
Rule[12M momentum top-k],top_k_hit_rate,0.2613333333333333,0.2613333333333333,0.21333333333333335,0.3093999999999999,400,400,0.95
Rule[6M momentum top-k],average_precision,0.24546715106279854,0.24847659542845763,0.22071480156205023,0.28863871326181645,400,400,0.95
Rule[6M momentum top-k],mean_spearman_ic,0.010994871794871788,0.013225641025641027,-0.05683230769230768,0.08111948717948718,400,400,0.95
Rule[6M momentum top-k],top_k_hit_rate,0.2533333333333333,0.2533333333333333,0.20793333333333333,0.30666666666666664,400,400,0.95
Rule[Low volatility top-k],average_precision,0.16553332775121618,0.1666965781722744,0.1545393403796037,0.1853174040950342,400,400,0.95
Rule[Low volatility top-k],mean_spearman_ic,-0.08169230769230772,-0.08149743589743591,-0.16321076923076921,0.0005130769230769133,400,400,0.95
Rule[Low volatility top-k],top_k_hit_rate,0.14133333333333334,0.1413333333333333,0.09866666666666668,0.1893333333333333,400,400,0.95
Rule[Risk-adjusted momentum top-k],average_precision,0.24710879067451433,0.25162966355084265,0.21408052958627966,0.2977092021920507,400,400,0.95
Rule[Risk-adjusted momentum top-k],mean_spearman_ic,0.0011179487179487195,0.0004512820512820589,-0.07713230769230767,0.09284974358974357,400,400,0.95
Rule[Risk-adjusted momentum top-k],top_k_hit_rate,0.27466666666666667,0.27466666666666667,0.2213333333333333,0.3333999999999999,400,400,0.95
XGBoost[GPU allocation scorer],average_precision,0.25199089221514565,0.2527419803372962,0.2223075706606458,0.2888006603486751,400,400,0.95
XGBoost[GPU allocation scorer],mean_spearman_ic,0.029487179487179476,0.029517948717948717,-0.04211564102564102,0.08837871794871795,400,400,0.95
XGBoost[GPU allocation scorer],top_k_hit_rate,0.26399999999999996,0.26399999999999996,0.216,0.30666666666666664,400,400,0.95
XGBoost[GPU allocation scorer] Calibration Base,average_precision,0.24031036797905522,0.24268856665218524,0.21376997133780368,0.27338920743662404,400,400,0.95
XGBoost[GPU allocation scorer] Calibration Base,mean_spearman_ic,-0.0030769230769230765,-0.004205128205128202,-0.06632820512820511,0.05647846153846153,400,400,0.95
XGBoost[GPU allocation scorer] Calibration Base,top_k_hit_rate,0.24533333333333326,0.24533333333333335,0.20533333333333334,0.288,400,400,0.95
XGBoost[GPU allocation scorer] Calibrated,average_precision,0.24031036797905525,0.24272002940120949,0.21419554790737,0.27450206692740436,400,400,0.95
XGBoost[GPU allocation scorer] Calibrated,mean_spearman_ic,-0.0030769230769230765,-0.0015794871794871752,-0.06507410256410256,0.063365641025641,400,400,0.95
XGBoost[GPU allocation scorer] Calibrated,top_k_hit_rate,0.24533333333333326,0.24533333333333332,0.2,0.29066666666666663,400,400,0.95
TabPFN[Direct allocation scorer],average_precision,0.29788754185586763,0.30040385222225124,0.2628141316268573,0.34170531931700376,400,400,0.95
TabPFN[Direct allocation scorer],mean_spearman_ic,0.039966097730112955,0.03980390180043314,-0.022411617275399906,0.09379288447488174,400,400,0.95
TabPFN[Direct allocation scorer],top_k_hit_rate,0.28800000000000003,0.2853333333333334,0.24799999999999997,0.32533333333333336,400,400,0.95
TabPFN[Direct allocation scorer] Calibration Base,average_precision,0.30206057650137474,0.30557400226908105,0.2693258787912938,0.3501492895726424,400,400,0.95
TabPFN[Direct allocation scorer] Calibration Base,mean_spearman_ic,0.04191943720085287,0.04272377845724173,-0.004502985645437185,0.09582004583775744,400,400,0.95
TabPFN[Direct allocation scorer] Calibration Base,top_k_hit_rate,0.31733333333333336,0.31866666666666665,0.27199999999999996,0.36266666666666664,400,400,0.95
