                                            Model Evaluation Window  months  mean_spearman_ic  median_spearman_ic  mean_top_k_hit_rate  mean_selected_forward_return  mean_universe_forward_return  mean_active_forward_return
        XGBoost[GPU allocation scorer] Calibrated       calibration      24          0.100096            0.120000             0.291667                      0.013529                      0.005788                    0.007740
  XGBoost[GPU allocation scorer] Calibration Base       calibration      24          0.100096            0.120000             0.291667                      0.013529                      0.005788                    0.007740
TabPFN[Direct allocation scorer] Calibration Base       calibration      24          0.076220            0.040196             0.300000                      0.010043                      0.005788                    0.004255
                       Rule[Low volatility top-k]       calibration      24         -0.090160           -0.203462             0.125000                      0.004705                      0.005788                   -0.001083
                         Rule[12M momentum top-k]       calibration      24         -0.059583            0.013846             0.183333                      0.000221                      0.005788                   -0.005567
               Rule[Risk-adjusted momentum top-k]       calibration      24         -0.144423           -0.091154             0.166667                     -0.003900                      0.005788                   -0.009688
                          Rule[6M momentum top-k]       calibration      24         -0.140769           -0.138846             0.183333                     -0.004110                      0.005788                   -0.009899
TabPFN[Direct allocation scorer] Calibration Base           holdout      75          0.041919            0.056154             0.317333                      0.014788                      0.009690                    0.005098
                 TabPFN[Direct allocation scorer]           holdout      75          0.039966            0.071538             0.288000                      0.014344                      0.009690                    0.004655
                         Rule[12M momentum top-k]           holdout      75          0.046441            0.036154             0.261333                      0.013993                      0.009690                    0.004303
               Rule[Risk-adjusted momentum top-k]           holdout      75          0.001118           -0.003077             0.274667                      0.012875                      0.009690                    0.003185
                   XGBoost[GPU allocation scorer]           holdout      75          0.029487            0.055385             0.264000                      0.010703                      0.009690                    0.001014
                          Rule[6M momentum top-k]           holdout      75          0.010995            0.013846             0.253333                      0.009208                      0.009690                   -0.000482
        XGBoost[GPU allocation scorer] Calibrated           holdout      75         -0.003077           -0.016923             0.245333                      0.008597                      0.009690                   -0.001093
  XGBoost[GPU allocation scorer] Calibration Base           holdout      75         -0.003077           -0.016923             0.245333                      0.008597                      0.009690                   -0.001093
                       Rule[Low volatility top-k]           holdout      75         -0.081692           -0.096923             0.141333                      0.002501                      0.009690                   -0.007189
              Dummy[Preholdout prior probability]           holdout      75               NaN                 NaN                  NaN                           NaN                      0.009690                         NaN
