trial,params,mean_test_score,std_test_score,fold_scores,mean_best_iteration,max_best_iteration,fold_best_iterations,early_stopping_rounds,errors
1,"{""colsample_bylevel"": 0.6872700594236812, ""colsample_bytree"": 0.9728928685254539, ""gamma"": 0.40955834936192403, ""learning_rate"": 0.037069753392781075, ""max_bin"": 742, ""max_delta_step"": 1, ""max_depth"": 4, ""min_child_weight"": 0.10454460591631218, ""n_estimators"": 1882, ""reg_alpha"": 11.567327199145982, ""reg_lambda"": 6.153465757494016, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.5592630224331111}",0.26519892900675807,0.042388197450716446,"[0.24253904774136803, 0.231942838745746, 0.24491235758681593, 0.27236176524770067, 0.35591053525230104, 0.24352702946661658]",76.5,236.0,"[2, 24, 4, 32, 161, 236]",75,
2,"{""colsample_bylevel"": 0.9849549260809971, ""colsample_bytree"": 0.907843452440232, ""gamma"": 0.00021774846673949344, ""learning_rate"": 0.0064380360133489065, ""max_bin"": 404, ""max_delta_step"": 0, ""max_depth"": 5, ""min_child_weight"": 4.558060845880422, ""n_estimators"": 2700, ""reg_alpha"": 0.01055881377906483, ""reg_lambda"": 0.5147650321325028, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.729937437271865}",0.278170875060961,0.029779382981815112,"[0.30815696073989307, 0.2533026672514676, 0.2648514073299293, 0.28694473659847897, 0.3200079169065035, 0.2357615615394937]",78.66666666666667,226.0,"[7, 7, 15, 58, 159, 226]",75,
3,"{""colsample_bylevel"": 0.5233328316068078, ""colsample_bytree"": 0.9855655353628026, ""gamma"": 0.0002928863947598484, ""learning_rate"": 0.004389136856236538, ""max_bin"": 690, ""max_delta_step"": 5, ""max_depth"": 8, ""min_child_weight"": 70.69028508408155, ""n_estimators"": 1928, ""reg_alpha"": 2.114233203549714e-05, ""reg_lambda"": 6.478539664840222, ""scale_pos_weight"": 1.0, ""subsample"": 0.7527246633862944}",0.2571652446841579,0.0355842327345972,"[0.23407575678827505, 0.22514341300004914, 0.21652777777777776, 0.2950039522075214, 0.31140806217998795, 0.26083250615133613]",68.5,300.0,"[300, 39, 1, 23, 20, 28]",75,
4,"{""colsample_bylevel"": 0.5066324805799333, ""colsample_bytree"": 0.9682109656266691, ""gamma"": 0.03542386603907951, ""learning_rate"": 0.015138602392314762, ""max_bin"": 473, ""max_delta_step"": 10, ""max_depth"": 3, ""min_child_weight"": 7.786364268056034, ""n_estimators"": 1790, ""reg_alpha"": 0.6065193093671484, ""reg_lambda"": 6.606970206752631, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.6280140940784975}",0.26328856112999244,0.036740318818782355,"[0.24781721378509952, 0.23327204103579174, 0.23139649958416006, 0.30028379713474507, 0.3268256841448278, 0.24013613109533025]",46.5,112.0,"[91, 8, 16, 13, 39, 112]",75,
5,"{""colsample_bylevel"": 0.6955303037866204, ""colsample_bytree"": 0.5502298482834342, ""gamma"": 0.5748504874729697, ""learning_rate"": 0.01788820529615122, ""max_bin"": 693, ""max_delta_step"": 1, ""max_depth"": 5, ""min_child_weight"": 0.19555361970422389, ""n_estimators"": 1102, ""reg_alpha"": 7.8703386917029325, ""reg_lambda"": 1.8315537187516697, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.952672307692442}",0.2589709816162508,0.03630861960394692,"[0.2345912908120339, 0.2541630670949355, 0.21372889340011825, 0.30072783345066284, 0.3138312344808562, 0.23678357045889822]",15.0,43.0,"[4, 20, 43, 6, 5, 12]",75,
6,"{""colsample_bylevel"": 0.7989499894055425, ""colsample_bytree"": 0.9570308292627143, ""gamma"": 3.610720816945312e-05, ""learning_rate"": 0.006832444467900929, ""max_bin"": 829, ""max_delta_step"": 10, ""max_depth"": 9, ""min_child_weight"": 12.401473873452447, ""n_estimators"": 1278, ""reg_alpha"": 6.326486185661585, ""reg_lambda"": 0.8698504235548351, ""scale_pos_weight"": 1.0, ""subsample"": 0.6134159012386432}",0.25927548682129165,0.029911702702909132,"[0.250626801798168, 0.27129157223141437, 0.21612004260757695, 0.2714595522320771, 0.31020724887329565, 0.23594770318521796]",44.833333333333336,110.0,"[60, 57, 6, 11, 110, 25]",75,
7,"{""colsample_bylevel"": 0.9010984903770198, ""colsample_bytree"": 0.49100285402387395, ""gamma"": 16.53499964207631, ""learning_rate"": 0.0768467030262712, ""max_bin"": 775, ""max_delta_step"": 3, ""max_depth"": 4, ""min_child_weight"": 9.200803266908613, ""n_estimators"": 2098, ""reg_alpha"": 3.398042322726315, ""reg_lambda"": 6.396852137349524, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.7113095778449228}",0.2549617826574816,0.02826418732855658,"[0.24229142307084156, 0.25428614238028735, 0.2324826338814201, 0.2513802816901408, 0.31551611671861013, 0.23381409820358973]",34.166666666666664,69.0,"[40, 69, 24, 1, 69, 2]",75,
8,"{""colsample_bylevel"": 0.5579345297625649, ""colsample_bytree"": 0.9247068842315764, ""gamma"": 0.08460970744279951, ""learning_rate"": 0.012040625663075235, ""max_bin"": 175, ""max_delta_step"": 10, ""max_depth"": 4, ""min_child_weight"": 3.9224648604296766, ""n_estimators"": 1970, ""reg_alpha"": 0.020207122587167347, ""reg_lambda"": 0.1302607873287156, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.9320112209197378}",0.2707031236787671,0.03738213059499198,"[0.29515038417944844, 0.25119212556517545, 0.24284715113233693, 0.27895191719325113, 0.33484781908020045, 0.2212293449221901]",28.666666666666668,94.0,"[5, 1, 94, 15, 56, 1]",75,
9,"{""colsample_bylevel"": 0.8608647605824367, ""colsample_bytree"": 0.5797917058619257, ""gamma"": 0.00041067113892932875, ""learning_rate"": 0.003555235977051182, ""max_bin"": 334, ""max_delta_step"": 1, ""max_depth"": 3, ""min_child_weight"": 1.2783708793589188, ""n_estimators"": 1263, ""reg_alpha"": 0.2850183875843368, ""reg_lambda"": 0.619475118867796, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.6126991544826441}",0.2650068910760362,0.030376200310006422,"[0.243329385351134, 0.2648547529411592, 0.23434192847433266, 0.2836961362001899, 0.3219427756442656, 0.2418763678451356]",97.5,181.0,"[181, 144, 13, 6, 65, 176]",75,
10,"{""colsample_bylevel"": 0.8022086896389087, ""colsample_bytree"": 0.7469126002159203, ""gamma"": 0.0001903245747086209, ""learning_rate"": 0.15732586327999207, ""max_bin"": 966, ""max_delta_step"": 3, ""max_depth"": 4, ""min_child_weight"": 0.16426398423215885, ""n_estimators"": 1997, ""reg_alpha"": 0.2715352993984658, ""reg_lambda"": 53.59745213811555, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.9474761165134908}",0.25433632468662687,0.025064564179695246,"[0.2392763609971355, 0.21746401661130096, 0.24612293757490628, 0.27907371784059243, 0.2929779080533691, 0.25110300704245697]",31.0,139.0,"[24, 1, 5, 139, 7, 10]",75,
