title,author
"Hands-On Machine Learning with Scikit-Learn, Keras & TensorFlow",Géron
Python Data Science Handbook,VanderPlas
Fundamentals of Data Visualization,Wilke
Clean Code,Martin
Scientific Python Volume II,
Statistical Methods for Data Analysis in Particle Physics,Lista
How to Actually Change Your Mind: R:AZ 2,Yudkowsky
Scrum Insights for Practitioners,Hiren Doshi
Statistical Methods in Experimental Physics,
Python 3 Object-Oriented Programming - Third Edition,Dusty Phillips
Fluent Python,Ramalho
Coaching Agile Teams,Adkins
Agile Retrospectives,
An Introduction to Error Analysis,Taylor
Steve Jobs,Walter Isaacson
Numerical Python,Johansson
Python for Finance Cookbook Second Edition,Eryk Lewinson
Python for Data Analysis,McKinney
